key,gamma,delta
"accidental,response0",0.4072699362961807,1.9623698321885896
"accidental,response1",0.35707814676449645,1.8807206489348318
"part,response0",0.6990785983090523,1.5735626301586152
"part,response1",0.8595343662851028,3.037100608957931
"vague,response0",0.5307134259548277,2.830163137283409
"vague,response1",0.7162625303177392,2.0556612599999644
"color,response0",0.34540196285620334,2.9207147107284968
"color,response1",0.5977362112482543,1.4075461928336874
