workerid	rt	trial_type	stim_type	stim_part	stim_determiner	trialNum	stim_color	stim_prevalence	response	stim_category
2	3080	truth_conditions	irrelevant	legs	generic	27	pink	10	False	feps
2	2144	truth_conditions	bare	feathers	generic	28	purple	30	False	lorches
2	2919	truth_conditions	irrelevant	teeth	generic	29	blue	90	True	thups
3	10732	truth_conditions	irrelevant	teeth	generic	0	blue	70	True	thups
3	9073	truth_conditions	irrelevant	feathers	generic	1	red	90	True	noobs
3	11828	truth_conditions	distinct	shells	generic	2	orange	70	True	luzaks
3	10866	truth_conditions	distinct	legs	generic	3	silver	90	True	ackles
3	6556	truth_conditions	bare	legs	generic	4	yellow	30	True	ludinos
3	5427	truth_conditions	bare	spots	generic	5	copper	50	True	glippets
3	8467	truth_conditions	irrelevant	scales	generic	6	yellow	30	True	dorbs
3	10357	truth_conditions	distinct	stripes	generic	7	copper	50	True	mooks
3	9576	truth_conditions	irrelevant	ears	generic	8	orange	50	True	kazzes
3	4946	truth_conditions	bare	ears	generic	9	blue	90	True	cheebas
3	9892	truth_conditions	irrelevant	fur	generic	10	copper	10	True	kweps
3	6929	truth_conditions	irrelevant	spots	generic	11	gold	30	True	stups
3	4200	truth_conditions	bare	feathers	generic	12	purple	70	True	lorches
3	4866	truth_conditions	bare	teeth	generic	13	pink	10	True	krivels
3	4990	truth_conditions	bare	shells	generic	14	green	90	True	moxes
3	3685	truth_conditions	bare	tails	generic	15	orange	30	True	zorbs
3	10438	truth_conditions	distinct	spots	generic	16	red	50	True	sapers
3	6284	truth_conditions	distinct	scales	generic	17	blue	30	True	reesles
3	7284	truth_conditions	irrelevant	shells	generic	18	purple	50	True	javs
3	6341	truth_conditions	distinct	feathers	generic	19	gold	10	True	plovs
3	5474	truth_conditions	bare	scales	generic	20	red	70	True	blins
3	5233	truth_conditions	bare	stripes	generic	21	gold	50	True	daiths
3	6972	truth_conditions	distinct	tails	generic	22	purple	90	True	taifels
3	8097	truth_conditions	distinct	ears	generic	23	pink	70	True	elleps
3	8432	truth_conditions	irrelevant	legs	generic	24	pink	70	True	feps
3	4163	truth_conditions	bare	fur	generic	25	silver	10	True	morseths
3	8061	truth_conditions	irrelevant	stripes	generic	26	silver	90	True	frams
3	7938	truth_conditions	irrelevant	tails	generic	27	green	10	True	trufts
3	9407	truth_conditions	distinct	fur	generic	28	yellow	10	True	ollers
3	8490	truth_conditions	distinct	teeth	generic	29	green	30	True	zoovs
4	9286	truth_conditions	bare	fur	generic	0	silver	70	False	morseths
4	2899	truth_conditions	bare	tails	generic	1	orange	50	False	zorbs
4	2506	truth_conditions	bare	ears	generic	2	blue	10	False	cheebas
4	7029	truth_conditions	irrelevant	shells	generic	3	purple	70	True	javs
4	3045	truth_conditions	bare	legs	generic	4	yellow	10	True	ludinos
4	2739	truth_conditions	irrelevant	scales	generic	5	yellow	50	True	dorbs
4	2388	truth_conditions	irrelevant	legs	generic	6	pink	90	True	feps
4	4064	truth_conditions	distinct	spots	generic	7	red	10	True	sapers
4	9600	truth_conditions	irrelevant	tails	generic	8	green	30	True	trufts
4	3074	truth_conditions	distinct	stripes	generic	9	copper	50	True	mooks
4	4212	truth_conditions	irrelevant	teeth	generic	10	blue	70	True	thups
4	14683	truth_conditions	distinct	fur	generic	11	yellow	90	True	ollers
4	7892	truth_conditions	distinct	ears	generic	12	pink	10	True	elleps
4	2949	truth_conditions	bare	scales	generic	13	red	90	True	blins
4	3385	truth_conditions	irrelevant	fur	generic	14	copper	30	True	kweps
4	2570	truth_conditions	irrelevant	stripes	generic	15	silver	50	True	frams
4	3437	truth_conditions	distinct	legs	generic	16	silver	30	True	ackles
4	3056	truth_conditions	bare	feathers	generic	17	purple	30	True	lorches
4	3803	truth_conditions	irrelevant	ears	generic	18	orange	10	True	kazzes
4	3808	truth_conditions	bare	spots	generic	19	copper	70	True	glippets
4	1893	truth_conditions	bare	shells	generic	20	green	90	True	moxes
4	4424	truth_conditions	distinct	feathers	generic	21	gold	70	True	plovs
4	3170	truth_conditions	distinct	shells	generic	22	orange	30	True	luzaks
4	4199	truth_conditions	irrelevant	spots	generic	23	gold	10	False	stups
4	3628	truth_conditions	bare	teeth	generic	24	pink	30	True	krivels
4	3910	truth_conditions	distinct	teeth	generic	25	green	90	True	zoovs
4	3212	truth_conditions	distinct	scales	generic	26	blue	70	True	reesles
4	2538	truth_conditions	distinct	tails	generic	27	purple	50	True	taifels
4	1931	truth_conditions	irrelevant	feathers	generic	28	red	90	True	noobs
4	3740	truth_conditions	bare	stripes	generic	29	gold	50	True	daiths
5	11890	truth_conditions	irrelevant	scales	generic	0	yellow	10	True	dorbs
5	28221	truth_conditions	irrelevant	spots	generic	1	gold	30	True	stups
5	7100	truth_conditions	distinct	shells	generic	2	orange	30	False	luzaks
5	5839	truth_conditions	irrelevant	fur	generic	3	copper	70	True	kweps
5	8159	truth_conditions	bare	teeth	generic	4	pink	10	False	krivels
5	3958	truth_conditions	bare	feathers	generic	5	purple	30	False	lorches
5	5202	truth_conditions	distinct	stripes	generic	6	copper	50	False	mooks
5	5668	truth_conditions	distinct	scales	generic	7	blue	90	True	reesles
5	5500	truth_conditions	irrelevant	stripes	generic	8	silver	90	True	frams
5	5655	truth_conditions	distinct	legs	generic	9	silver	30	False	ackles
5	4759	truth_conditions	bare	fur	generic	10	silver	90	True	morseths
5	4537	truth_conditions	bare	tails	generic	11	orange	70	True	zorbs
5	3155	truth_conditions	distinct	fur	generic	12	yellow	70	False	ollers
5	3639	truth_conditions	bare	spots	generic	13	copper	30	False	glippets
5	3502	truth_conditions	distinct	feathers	generic	14	gold	70	False	plovs
5	4572	truth_conditions	bare	scales	generic	15	red	70	True	blins
5	10020	truth_conditions	irrelevant	tails	generic	16	green	50	False	trufts
5	33313	truth_conditions	distinct	teeth	generic	17	green	10	False	zoovs
5	4165	truth_conditions	irrelevant	ears	generic	18	orange	70	True	kazzes
5	3563	truth_conditions	irrelevant	teeth	generic	19	blue	30	False	thups
5	3451	truth_conditions	bare	ears	generic	20	blue	50	False	cheebas
5	3286	truth_conditions	irrelevant	feathers	generic	21	red	10	False	noobs
5	2992	truth_conditions	bare	shells	generic	22	green	90	True	moxes
5	20173	truth_conditions	distinct	tails	generic	23	purple	10	False	taifels
5	4913	truth_conditions	bare	stripes	generic	24	gold	10	False	daiths
5	5257	truth_conditions	distinct	ears	generic	25	pink	90	True	elleps
5	2941	truth_conditions	bare	legs	generic	26	yellow	50	False	ludinos
5	4683	truth_conditions	irrelevant	shells	generic	27	purple	50	False	javs
5	4003	truth_conditions	distinct	spots	generic	28	red	50	False	sapers
5	5196	truth_conditions	irrelevant	legs	generic	29	pink	90	False	feps
6	14493	truth_conditions	distinct	stripes	generic	0	copper	30	True	mooks
6	11722	truth_conditions	irrelevant	ears	generic	1	orange	90	True	kazzes
6	5458	truth_conditions	distinct	shells	generic	2	orange	90	True	luzaks
6	7418	truth_conditions	irrelevant	teeth	generic	3	blue	10	False	thups
6	5459	truth_conditions	distinct	teeth	generic	4	green	90	True	zoovs
6	7949	truth_conditions	distinct	ears	generic	5	pink	30	False	elleps
6	4295	truth_conditions	bare	feathers	generic	6	purple	30	False	lorches
6	8060	truth_conditions	distinct	feathers	generic	7	gold	50	True	plovs
6	3820	truth_conditions	irrelevant	tails	generic	8	green	70	True	trufts
6	2456	truth_conditions	bare	spots	generic	9	copper	70	True	glippets
6	7087	truth_conditions	irrelevant	legs	generic	10	pink	50	True	feps
6	3213	truth_conditions	bare	shells	generic	11	green	90	True	moxes
6	9791	truth_conditions	distinct	fur	generic	12	yellow	50	True	ollers
6	12286	truth_conditions	distinct	tails	generic	13	purple	10	True	taifels
6	8086	truth_conditions	irrelevant	spots	generic	14	gold	50	True	stups
6	14455	truth_conditions	distinct	scales	generic	15	blue	10	False	reesles
6	2723	truth_conditions	bare	fur	generic	16	silver	70	True	morseths
6	4510	truth_conditions	bare	tails	generic	17	orange	10	False	zorbs
6	7904	truth_conditions	irrelevant	shells	generic	18	purple	70	True	javs
6	9487	truth_conditions	irrelevant	feathers	generic	19	red	30	False	noobs
6	4020	truth_conditions	bare	teeth	generic	20	pink	10	False	krivels
6	3935	truth_conditions	irrelevant	scales	generic	21	yellow	30	False	dorbs
6	5674	truth_conditions	irrelevant	stripes	generic	22	silver	90	True	frams
6	2316	truth_conditions	bare	scales	generic	23	red	50	True	blins
6	4243	truth_conditions	distinct	legs	generic	24	silver	70	True	ackles
6	2660	truth_conditions	bare	legs	generic	25	yellow	50	True	ludinos
6	3818	truth_conditions	distinct	spots	generic	26	red	70	True	sapers
6	4992	truth_conditions	irrelevant	fur	generic	27	copper	10	False	kweps
6	2647	truth_conditions	bare	stripes	generic	28	gold	90	True	daiths
6	2335	truth_conditions	bare	ears	generic	29	blue	30	False	cheebas
7	12186	truth_conditions	distinct	ears	generic	0	pink	50	True	elleps
7	6509	truth_conditions	distinct	feathers	generic	1	gold	50	True	plovs
7	6247	truth_conditions	irrelevant	scales	generic	2	yellow	30	False	dorbs
7	9853	truth_conditions	bare	ears	generic	3	blue	70	True	cheebas
7	2669	truth_conditions	bare	tails	generic	4	orange	30	False	zorbs
7	4734	truth_conditions	irrelevant	stripes	generic	5	silver	50	True	frams
7	2575	truth_conditions	bare	feathers	generic	6	purple	10	False	lorches
7	2431	truth_conditions	bare	shells	generic	7	green	10	False	moxes
7	6205	truth_conditions	irrelevant	tails	generic	8	green	10	False	trufts
7	44100	truth_conditions	distinct	teeth	generic	9	green	10	False	zoovs
7	2329	truth_conditions	bare	stripes	generic	10	gold	50	True	daiths
7	2774	truth_conditions	irrelevant	shells	generic	11	purple	30	False	javs
7	3411	truth_conditions	distinct	scales	generic	12	blue	10	False	reesles
7	3262	truth_conditions	irrelevant	legs	generic	13	pink	90	True	feps
7	3488	truth_conditions	bare	legs	generic	14	yellow	90	True	ludinos
7	2534	truth_conditions	distinct	tails	generic	15	purple	30	False	taifels
7	2742	truth_conditions	distinct	fur	generic	16	yellow	30	False	ollers
7	2393	truth_conditions	bare	teeth	generic	17	pink	90	True	krivels
7	3064	truth_conditions	distinct	spots	generic	18	red	90	True	sapers
7	2146	truth_conditions	bare	spots	generic	19	copper	50	True	glippets
7	3074	truth_conditions	irrelevant	teeth	generic	20	blue	70	True	thups
7	3515	truth_conditions	irrelevant	spots	generic	21	gold	90	True	stups
7	2129	truth_conditions	irrelevant	fur	generic	22	copper	70	True	kweps
7	3291	truth_conditions	irrelevant	feathers	generic	23	red	10	False	noobs
7	2216	truth_conditions	bare	scales	generic	24	red	30	False	blins
7	3069	truth_conditions	bare	fur	generic	25	silver	70	True	morseths
7	3592	truth_conditions	distinct	stripes	generic	26	copper	90	True	mooks
7	3053	truth_conditions	irrelevant	ears	generic	27	orange	50	True	kazzes
7	4731	truth_conditions	distinct	shells	generic	28	orange	70	True	luzaks
7	2802	truth_conditions	distinct	legs	generic	29	silver	70	True	ackles
8	8590	truth_conditions	bare	fur	generic	0	silver	90	True	morseths
8	7367	truth_conditions	distinct	spots	generic	1	red	90	True	sapers
8	18837	truth_conditions	distinct	legs	generic	2	silver	70	True	ackles
8	9147	truth_conditions	bare	ears	generic	3	blue	30	False	cheebas
8	4922	truth_conditions	irrelevant	tails	generic	4	green	90	True	trufts
8	6653	truth_conditions	distinct	tails	generic	5	purple	30	False	taifels
8	2673	truth_conditions	bare	shells	generic	6	green	50	True	moxes
8	9770	truth_conditions	bare	feathers	generic	7	purple	90	True	lorches
8	10246	truth_conditions	irrelevant	spots	generic	8	gold	30	True	stups
8	5339	truth_conditions	bare	stripes	generic	9	gold	10	True	daiths
8	3247	truth_conditions	bare	scales	generic	10	red	30	True	blins
8	4148	truth_conditions	distinct	ears	generic	11	pink	70	True	elleps
8	3920	truth_conditions	irrelevant	stripes	generic	12	silver	30	True	frams
8	4668	truth_conditions	distinct	stripes	generic	13	copper	10	False	mooks
8	1999	truth_conditions	bare	spots	generic	14	copper	70	True	glippets
8	3071	truth_conditions	distinct	fur	generic	15	yellow	90	True	ollers
8	2806	truth_conditions	bare	teeth	generic	16	pink	70	True	krivels
8	2464	truth_conditions	bare	legs	generic	17	yellow	10	False	ludinos
8	2983	truth_conditions	distinct	feathers	generic	18	gold	50	True	plovs
8	1808	truth_conditions	irrelevant	feathers	generic	19	red	70	True	noobs
8	1542	truth_conditions	distinct	shells	generic	20	orange	50	True	luzaks
8	2652	truth_conditions	irrelevant	legs	generic	21	pink	50	True	feps
8	3284	truth_conditions	irrelevant	shells	generic	22	purple	10	False	javs
8	2380	truth_conditions	bare	tails	generic	23	orange	50	True	zorbs
8	2084	truth_conditions	irrelevant	ears	generic	24	orange	70	True	kazzes
8	1701	truth_conditions	irrelevant	fur	generic	25	copper	90	True	kweps
8	3187	truth_conditions	irrelevant	teeth	generic	26	blue	10	False	thups
8	8276	truth_conditions	distinct	teeth	generic	27	green	30	False	zoovs
8	3279	truth_conditions	irrelevant	scales	generic	28	yellow	50	True	dorbs
8	10821	truth_conditions	distinct	scales	generic	29	blue	10	False	reesles
9	19139	truth_conditions	irrelevant	tails	generic	0	green	70	True	trufts
9	39494	truth_conditions	irrelevant	spots	generic	1	gold	90	False	stups
9	6490	truth_conditions	bare	shells	generic	2	green	70	False	moxes
9	7175	truth_conditions	irrelevant	legs	generic	3	pink	90	False	feps
9	7454	truth_conditions	distinct	scales	generic	4	blue	70	False	reesles
9	5128	truth_conditions	bare	stripes	generic	5	gold	50	False	daiths
9	9022	truth_conditions	distinct	fur	generic	6	yellow	90	False	ollers
9	9247	truth_conditions	distinct	legs	generic	7	silver	10	False	ackles
9	5678	truth_conditions	distinct	shells	generic	8	orange	70	False	luzaks
9	5580	truth_conditions	irrelevant	feathers	generic	9	red	50	False	noobs
9	5637	truth_conditions	bare	feathers	generic	10	purple	90	False	lorches
9	5485	truth_conditions	distinct	feathers	generic	11	gold	90	False	plovs
9	5356	truth_conditions	bare	spots	generic	12	copper	10	False	glippets
9	7039	truth_conditions	distinct	tails	generic	13	purple	50	False	taifels
9	5226	truth_conditions	bare	ears	generic	14	blue	90	False	cheebas
9	6548	truth_conditions	irrelevant	teeth	generic	15	blue	10	False	thups
9	5533	truth_conditions	distinct	ears	generic	16	pink	30	False	elleps
9	2727	truth_conditions	bare	scales	generic	17	red	10	False	blins
9	5177	truth_conditions	irrelevant	stripes	generic	18	silver	10	False	frams
9	4352	truth_conditions	distinct	stripes	generic	19	copper	10	False	mooks
9	5132	truth_conditions	distinct	spots	generic	20	red	30	False	sapers
9	4312	truth_conditions	bare	teeth	generic	21	pink	50	False	krivels
9	6447	truth_conditions	irrelevant	scales	generic	22	yellow	30	False	dorbs
9	2882	truth_conditions	bare	legs	generic	23	yellow	30	False	ludinos
9	5418	truth_conditions	irrelevant	ears	generic	24	orange	50	False	kazzes
9	5772	truth_conditions	irrelevant	shells	generic	25	purple	70	False	javs
9	2900	truth_conditions	bare	fur	generic	26	silver	70	False	morseths
9	3901	truth_conditions	irrelevant	fur	generic	27	copper	30	False	kweps
9	2581	truth_conditions	distinct	teeth	generic	28	green	50	False	zoovs
9	2420	truth_conditions	bare	tails	generic	29	orange	30	False	zorbs
10	5304	truth_conditions	bare	scales	generic	0	red	90	True	blins
10	4189	truth_conditions	distinct	legs	generic	1	silver	10	False	ackles
10	3304	truth_conditions	irrelevant	ears	generic	2	orange	50	True	kazzes
10	4352	truth_conditions	bare	fur	generic	3	silver	10	False	morseths
10	3053	truth_conditions	irrelevant	legs	generic	4	pink	10	False	feps
10	3388	truth_conditions	bare	shells	generic	5	green	10	False	moxes
10	9043	truth_conditions	distinct	fur	generic	6	yellow	30	False	ollers
10	2167	truth_conditions	distinct	teeth	generic	7	green	90	True	zoovs
10	3221	truth_conditions	irrelevant	stripes	generic	8	silver	10	False	frams
10	5787	truth_conditions	distinct	tails	generic	9	purple	50	True	taifels
10	3906	truth_conditions	bare	legs	generic	10	yellow	90	True	ludinos
10	5022	truth_conditions	irrelevant	tails	generic	11	green	30	False	trufts
10	2785	truth_conditions	irrelevant	shells	generic	12	purple	70	True	javs
10	1772	truth_conditions	distinct	spots	generic	13	red	30	False	sapers
