workerid,bin_00,trial_type,binOrder,bin_30,bin_20,bin_90,color,bin_70,bin_60,trialNum,bin_10,bin_50,bin_40,context,bin_80,part,rt,category
1,0.46,binnedHistogram,lo2hi,0.98,0.73,0.07,yellow,0.03,0.05,9,0.5,0.21,0.29,danger-distinct,0.03,scales,17445,dorbs
1,0.63,binnedHistogram,lo2hi,0.61,0.57,0.29,blue,0.85,0.59,10,0.5,0.55,0.56,nondistinctive,0.52,scales,19168,reesles
1,0.65,binnedHistogram,lo2hi,0.64,0.45,0.78,red,0.69,0.71,11,0.55,0.54,0.64,bare,0.74,scales,11197,blins
2,0.89,binnedHistogram,lo2hi,0.43,0.5,0.01,silver,0.06,0.13,0,0.69,0.21,0.32,danger-distinct,0.02,legs,48903,ackles
2,0.59,binnedHistogram,lo2hi,0.48,0.56,0.13,orange,0.2,0.25,1,0.56,0.33,0.38,nondistinctive,0.2,shells,50679,luzaks
2,0.5,binnedHistogram,lo2hi,0.51,0.48,0.53,red,0.52,0.52,2,0.5,0.53,0.53,bare,0.51,spots,17651,sapers
2,0.51,binnedHistogram,lo2hi,0.55,0.54,0.51,pink,0.54,0.55,3,0.54,0.54,0.54,bare,0.55,ears,12451,elleps
2,0.91,binnedHistogram,lo2hi,0.44,0.56,0.05,purple,0.12,0.17,4,0.71,0.23,0.33,danger-distinct,0.07,shells,34570,javs
2,0.95,binnedHistogram,lo2hi,0.65,0.77,0.11,green,0.27,0.36,5,0.85,0.44,0.54,danger-distinct,0.23,teeth,23725,zoovs
2,0.79,binnedHistogram,lo2hi,0.64,0.66,0.33,blue,0.48,0.49,6,0.75,0.55,0.59,nondistinctive,0.37,teeth,22825,thups
2,0.55,binnedHistogram,lo2hi,0.57,0.57,0.53,silver,0.55,0.57,7,0.56,0.59,0.56,bare,0.55,stripes,14495,frams
2,0.98,binnedHistogram,lo2hi,0.67,0.79,0.05,blue,0.26,0.37,8,0.88,0.5,0.61,danger-distinct,0.13,scales,21305,reesles
2,0.56,binnedHistogram,lo2hi,0.5,0.53,0.49,copper,0.5,0.49,9,0.54,0.5,0.49,bare,0.51,spots,11897,glippets
2,0.62,binnedHistogram,lo2hi,0.42,0.48,0.16,yellow,0.24,0.31,10,0.54,0.36,0.38,nondistinctive,0.23,legs,20974,ludinos
2,0.73,binnedHistogram,lo2hi,0.54,0.57,0.24,blue,0.35,0.38,11,0.65,0.43,0.46,nondistinctive,0.28,ears,14135,cheebas
3,0,binnedHistogram,lo2hi,0.14,0.06,0.9,yellow,0.84,0.83,0,0,0.68,0.33,nondistinctive,0.86,scales,98141,dorbs
3,1,binnedHistogram,lo2hi,0,0,0,gold,0,0,1,0,0,0,danger-distinct,0,stripes,38294,daiths
3,1,binnedHistogram,lo2hi,0.09,0.51,0,purple,0.02,0.05,2,0.76,0.06,0.07,bare,0.01,tails,24416,taifels
3,0.1,binnedHistogram,lo2hi,0.5,0.23,0.02,orange,0.31,0.44,3,0.13,0.52,0.62,nondistinctive,0.17,ears,22455,kazzes
3,0.53,binnedHistogram,lo2hi,0.67,0.66,0.02,copper,0.37,0.44,4,0.6,0.66,0.76,nondistinctive,0.2,spots,26848,glippets
3,0.79,binnedHistogram,lo2hi,0.56,0.63,0.02,pink,0.21,0.36,5,0.69,0.43,0.46,bare,0.07,ears,21104,elleps
3,0.98,binnedHistogram,lo2hi,0.72,0.83,0.01,silver,0.22,0.31,6,0.9,0.39,0.6,danger-distinct,0.12,legs,18504,ackles
3,0.85,binnedHistogram,lo2hi,0.92,0.97,0.03,orange,0.15,0.18,7,0.93,0.26,0.42,danger-distinct,0.08,shells,15632,luzaks
3,0.88,binnedHistogram,lo2hi,0.5,0.71,0,silver,0.09,0.13,8,0.84,0.17,0.33,bare,0.04,stripes,13703,frams
3,0.34,binnedHistogram,lo2hi,0.74,0.67,0.06,yellow,0.42,0.62,9,0.58,0.79,0.83,nondistinctive,0.21,fur,20841,ollers
3,0.97,binnedHistogram,lo2hi,0.77,0.91,0.02,blue,0.19,0.31,10,0.95,0.42,0.6,bare,0.1,teeth,10768,thups
3,0.98,binnedHistogram,lo2hi,0.52,0.68,0.03,blue,0.26,0.29,11,0.84,0.38,0.48,danger-distinct,0.19,scales,24128,reesles
4,0.21,binnedHistogram,lo2hi,0.21,0.23,0.23,red,0.22,0.23,0,0.23,0.24,0.23,danger-distinct,0.24,scales,40537,blins
4,0.6,binnedHistogram,lo2hi,0.6,0.62,0.61,gold,0.64,0.62,1,0.62,0.63,0.61,nondistinctive,0.64,feathers,22798,plovs
4,0.21,binnedHistogram,lo2hi,0.16,0.22,0.65,silver,0.48,0.44,2,0.22,0.34,0.33,nondistinctive,0.54,legs,18917,ackles
4,0.17,binnedHistogram,lo2hi,0.21,0.18,0.23,pink,0.19,0.21,3,0.18,0.23,0.22,danger-distinct,0.18,teeth,8966,krivels
4,0.18,binnedHistogram,lo2hi,0.17,0.16,0.44,red,0.29,0.2,4,0.17,0.18,0.17,bare,0.33,spots,10583,sapers
4,0.22,binnedHistogram,lo2hi,0.21,0.22,0.42,green,0.35,0.31,5,0.24,0.29,0.25,bare,0.37,teeth,11218,zoovs
4,0.2,binnedHistogram,lo2hi,0.53,0.34,0.77,pink,0.78,0.67,6,0.29,0.56,0.57,nondistinctive,0.75,ears,12344,elleps
4,0.17,binnedHistogram,lo2hi,0.19,0.2,0.62,gold,0.36,0.31,7,0.19,0.27,0.18,bare,0.45,spots,8530,stups
4,0.23,binnedHistogram,lo2hi,0.28,0.23,0.68,copper,0.33,0.28,8,0.26,0.25,0.22,bare,0.52,spots,8691,glippets
4,0.21,binnedHistogram,lo2hi,0.3,0.28,0.74,gold,0.58,0.37,9,0.26,0.26,0.23,nondistinctive,0.68,stripes,10634,daiths
4,0.18,binnedHistogram,lo2hi,0.15,0.2,0.37,copper,0.18,0.21,10,0.21,0.23,0.19,danger-distinct,0.24,stripes,14055,mooks
4,0.21,binnedHistogram,lo2hi,0.23,0.22,0.82,green,0.46,0.46,11,0.22,0.33,0.25,danger-distinct,0.58,shells,8713,moxes
5,0.04,binnedHistogram,lo2hi,0.34,0.27,0.1,yellow,0.25,0.3,0,0.15,0.43,1,nondistinctive,0.11,legs,39417,ludinos
5,0.34,binnedHistogram,lo2hi,0.59,0.5,0.02,blue,0.43,0.64,1,0.27,0.88,0.35,bare,0.48,scales,15597,reesles
5,0.54,binnedHistogram,lo2hi,0.82,0.8,0.06,pink,0.02,0.58,2,0.51,0.97,0.77,nondistinctive,0.06,ears,10230,elleps
5,0.32,binnedHistogram,lo2hi,0.45,0.51,0,red,0.24,0.33,3,0.25,0.51,0.25,bare,0.1,spots,11922,sapers
5,0.03,binnedHistogram,lo2hi,0.34,0.2,0.3,red,0.98,0.59,4,0.1,0.5,0.44,nondistinctive,0.49,feathers,17456,noobs
5,0.8,binnedHistogram,lo2hi,0.55,0.64,0.64,green,0.76,0.78,5,0.82,0.9,0.73,bare,0.74,tails,8460,trufts
5,0.4,binnedHistogram,lo2hi,0.58,0.58,0.4,green,0.4,0.73,6,0.5,0.58,0.53,nondistinctive,0.32,shells,9004,moxes
5,0.13,binnedHistogram,lo2hi,0.04,0.62,0.9,blue,0.88,0.7,7,0.63,0.75,0.56,danger-distinct,0.83,ears,7786,cheebas
5,0.72,binnedHistogram,lo2hi,0.67,0.62,0.47,gold,0.23,0.02,8,0.62,0.02,0.59,danger-distinct,0.27,spots,9354,stups
5,0.86,binnedHistogram,lo2hi,0.61,0.72,0.5,silver,0.04,0.57,9,0.83,0.67,0.56,danger-distinct,0.67,fur,7988,morseths
5,0.55,binnedHistogram,lo2hi,0.43,0.35,0.58,purple,0.48,0.52,10,0.17,0.52,0.49,bare,0.49,tails,7666,taifels
5,0,binnedHistogram,lo2hi,0.04,0.02,0.96,silver,0.02,0.04,11,0,0.04,0.04,danger-distinct,0.03,stripes,15656,frams
6,0.4,binnedHistogram,lo2hi,0.6,0.56,0.07,gold,0.27,0.37,0,0.49,0.61,0.62,bare,0.19,spots,25373,stups
6,0.21,binnedHistogram,lo2hi,0.54,0.44,0.46,copper,0.65,0.63,1,0.35,0.59,0.58,nondistinctive,0.63,fur,31960,kweps
6,0.41,binnedHistogram,lo2hi,0.6,0.53,0.5,gold,0.69,0.73,2,0.47,0.73,0.68,nondistinctive,0.6,feathers,14478,plovs
6,0,binnedHistogram,lo2hi,0.28,0.25,0,red,0.21,0.32,3,0.09,0.34,0.29,bare,0.08,spots,17116,sapers
6,0.05,binnedHistogram,lo2hi,0.05,0.1,0,silver,0,0,4,0.07,0,0.03,danger-distinct,0,fur,27119,morseths
6,0,binnedHistogram,lo2hi,0.03,0.07,0,orange,0,0,5,0.04,0,0,danger-distinct,0,ears,15696,kazzes
6,0.06,binnedHistogram,lo2hi,0.36,0.23,0.15,yellow,0.31,0.4,6,0.16,0.51,0.44,nondistinctive,0.24,scales,11910,dorbs
6,0.06,binnedHistogram,lo2hi,0.09,0.1,0,green,0.06,0.08,7,0.09,0.1,0.1,bare,0.01,teeth,11523,zoovs
6,0.07,binnedHistogram,lo2hi,0.35,0.35,0.08,yellow,0.34,0.43,8,0.23,0.45,0.4,bare,0.14,fur,16023,ollers
6,0.04,binnedHistogram,lo2hi,0.07,0.08,0,pink,0,0,9,0.07,0.01,0.05,danger-distinct,0,teeth,13610,krivels
6,0.13,binnedHistogram,lo2hi,0.37,0.3,0.06,silver,0.21,0.36,10,0.23,0.43,0.4,nondistinctive,0.13,stripes,12306,frams
6,0.04,binnedHistogram,lo2hi,0.07,0.08,0,red,0.04,0.06,11,0.07,0.08,0.08,danger-distinct,0.01,feathers,18399,noobs
7,0.13,binnedHistogram,lo2hi,0.97,0.76,0,copper,0.19,0.32,0,0.58,0.46,0.71,bare,0.12,spots,40157,glippets
7,0,binnedHistogram,lo2hi,0.32,0.17,0.26,red,0.64,0.72,1,0.13,0.56,0.52,nondistinctive,0.38,scales,34118,blins
7,1,binnedHistogram,lo2hi,0.27,0.38,0,copper,0.05,0.07,2,0.72,0.1,0.19,danger-distinct,0,fur,50391,kweps
7,0.67,binnedHistogram,lo2hi,0.75,0.64,0,green,0.22,0.29,3,0.52,0.56,0.68,bare,0.07,teeth,29528,zoovs
