workerid,bin_00,trial_type,binOrder,bin_30,bin_20,bin_90,color,bin_70,bin_60,trialNum,bin_10,bin_50,bin_40,context,bin_80,part,rt,category
15,0.08,binnedHistogram,lo2hi,0.66,0.46,0.05,blue,0.48,0.65,5,0.24,0.9,0.88,nondistinctive,0.21,scales,33987,reesles
15,0.5,binnedHistogram,lo2hi,0.5,0.48,0.51,orange,0.5,0.49,6,0.5,0.49,0.49,bare,0.52,ears,37579,kazzes
15,0.5,binnedHistogram,lo2hi,0.5,0.5,0.52,silver,0.48,0.51,7,0.5,0.52,0.5,bare,0.52,stripes,15739,frams
15,0.05,binnedHistogram,lo2hi,0.72,0.41,0.04,gold,0.37,0.74,8,0.18,0.93,0.94,nondistinctive,0.13,feathers,34591,plovs
15,0.43,binnedHistogram,lo2hi,0.46,0.42,0.45,copper,0.46,0.46,9,0.44,0.44,0.46,bare,0.46,fur,29018,kweps
15,0.48,binnedHistogram,lo2hi,0.49,0.49,0.48,purple,0.46,0.49,10,0.49,0.49,0.48,bare,0.5,feathers,17107,lorches
15,0.06,binnedHistogram,lo2hi,0.65,0.44,0.05,copper,0.41,0.66,11,0.17,0.92,0.93,nondistinctive,0.16,spots,31679,glippets
16,0.07,binnedHistogram,lo2hi,0.43,0.27,0.07,red,0.29,0.43,0,0.14,0.59,0.59,nondistinctive,0.16,spots,122818,sapers
16,0.12,binnedHistogram,lo2hi,0.41,0.31,0.09,green,0.3,0.42,1,0.22,0.47,0.47,nondistinctive,0.19,tails,53262,trufts
16,0.09,binnedHistogram,lo2hi,0.4,0.29,0.1,gold,0.3,0.41,2,0.2,0.49,0.49,nondistinctive,0.22,feathers,47277,plovs
16,0.77,binnedHistogram,lo2hi,0.48,0.57,0.09,blue,0.22,0.28,3,0.67,0.33,0.39,danger-distinct,0.14,scales,116716,reesles
16,0.46,binnedHistogram,lo2hi,0.37,0.4,0.06,blue,0.18,0.23,4,0.44,0.29,0.34,bare,0.12,teeth,42804,thups
16,0.49,binnedHistogram,lo2hi,0.32,0.39,0.1,purple,0.18,0.21,5,0.44,0.25,0.28,bare,0.13,shells,22217,javs
16,0.81,binnedHistogram,lo2hi,0.58,0.65,0.1,copper,0.25,0.32,6,0.73,0.4,0.49,danger-distinct,0.18,stripes,80396,mooks
16,0.81,binnedHistogram,lo2hi,0.58,0.64,0.1,pink,0.27,0.35,7,0.72,0.43,0.5,danger-distinct,0.17,legs,31234,feps
16,0.1,binnedHistogram,lo2hi,0.49,0.35,0.11,green,0.35,0.48,8,0.22,0.57,0.57,nondistinctive,0.23,teeth,81565,zoovs
16,0.51,binnedHistogram,lo2hi,0.36,0.41,0.09,orange,0.18,0.22,9,0.45,0.26,0.3,bare,0.13,shells,40537,luzaks
16,0.76,binnedHistogram,lo2hi,0.56,0.62,0.09,purple,0.25,0.35,10,0.68,0.42,0.49,danger-distinct,0.17,feathers,52428,lorches
16,0.61,binnedHistogram,lo2hi,0.43,0.49,0.1,orange,0.23,0.28,11,0.55,0.33,0.38,bare,0.16,ears,84907,kazzes
17,0.05,binnedHistogram,lo2hi,0.31,0.15,0.03,copper,0.13,0.3,0,0.07,0.41,0.42,nondistinctive,0.08,stripes,58745,mooks
17,0.07,binnedHistogram,lo2hi,0.05,0.05,0.01,pink,0.02,0.04,1,0.04,0.06,0.05,bare,0.02,teeth,30923,krivels
17,0.25,binnedHistogram,lo2hi,0.08,0.1,0.1,copper,0.09,0.09,2,0.14,0.09,0.07,bare,0.1,fur,28218,kweps
17,0.19,binnedHistogram,lo2hi,0.01,0,0,copper,0.02,0.01,3,0.02,0,0.01,danger-distinct,0.02,spots,27901,glippets
17,0.28,binnedHistogram,lo2hi,0.1,0.12,0.06,silver,0.07,0.07,4,0.16,0.07,0.08,bare,0.07,stripes,21526,frams
17,0.52,binnedHistogram,lo2hi,0.37,0.37,0.36,red,0.33,0.35,5,0.38,0.35,0.52,nondistinctive,0.34,feathers,28295,noobs
17,0.6,binnedHistogram,lo2hi,0.02,0.03,0.53,blue,0.01,0.02,6,0.03,0.02,0.02,danger-distinct,0.01,scales,34878,reesles
17,0.52,binnedHistogram,lo2hi,0.5,0.5,0.47,green,0.46,0.5,7,0.49,0.49,0.5,nondistinctive,0.5,tails,19431,trufts
17,0.53,binnedHistogram,lo2hi,0.53,0.53,0.48,red,0.52,0.51,8,0.54,0.52,0.53,nondistinctive,0.51,spots,18624,sapers
17,0.57,binnedHistogram,lo2hi,0,0,0.61,red,0,0,9,0,0,0,danger-distinct,0,scales,20900,blins
17,0.6,binnedHistogram,lo2hi,0.04,0.02,0.62,orange,0.02,0.01,10,0.03,0.04,0.03,danger-distinct,0.02,tails,16425,zorbs
17,0.57,binnedHistogram,lo2hi,0.54,0.58,0.52,orange,0.51,0.51,11,0.56,0.54,0.52,bare,0.52,ears,12814,kazzes
18,0,binnedHistogram,lo2hi,0,0,0,purple,0,0,0,0.08,0,0,danger-distinct,0,feathers,73966,lorches
18,0,binnedHistogram,lo2hi,0,0,0,purple,0,0,1,0,0,0,nondistinctive,0,tails,39990,taifels
18,0,binnedHistogram,lo2hi,0,0,0,orange,0,0,2,0,0,0,nondistinctive,0,tails,32582,zorbs
18,0,binnedHistogram,lo2hi,0,0,0,yellow,0,0,3,0,0,0,nondistinctive,0,scales,35165,dorbs
18,0,binnedHistogram,lo2hi,0,0,0,orange,0,0,4,0,0,0,danger-distinct,0,shells,36806,luzaks
18,0,binnedHistogram,lo2hi,0,0,0,silver,0,0,5,0,0,0,bare,0,stripes,23826,frams
18,0,binnedHistogram,lo2hi,0,0,0,yellow,0,0,6,0,0,0,bare,0,legs,23796,ludinos
18,0,binnedHistogram,lo2hi,0,0,0,copper,0,0,7,0,0,0,nondistinctive,0,fur,34463,kweps
18,0,binnedHistogram,lo2hi,0,0,0,pink,0,0,8,0,0,0.02,bare,0,ears,23479,elleps
18,0,binnedHistogram,lo2hi,0,0,0,silver,0,0,9,0,0,0,bare,0,legs,20776,ackles
18,0.01,binnedHistogram,lo2hi,0,0,0,green,0,0,10,0,0,0,danger-distinct,0.03,teeth,24919,zoovs
18,0,binnedHistogram,lo2hi,0.02,0,0,blue,0,0.08,11,0.02,0.11,0.03,danger-distinct,0,scales,26260,reesles
19,1,binnedHistogram,lo2hi,0.4,0.62,0,blue,0,0,0,0.75,0,0.22,nondistinctive,0,ears,23168,cheebas
19,0.41,binnedHistogram,lo2hi,0,0.1,0,yellow,0,0,1,0.23,0,0,nondistinctive,0,fur,21901,ollers
19,0.92,binnedHistogram,lo2hi,0.36,0.56,0,silver,0,0,2,0.75,0,0.19,nondistinctive,0,stripes,17352,frams
19,0.65,binnedHistogram,lo2hi,0.11,0.26,0,pink,0,0,3,0.46,0,0.01,danger-distinct,0,ears,14037,elleps
19,0.14,binnedHistogram,lo2hi,0,0,0,yellow,0,0,4,0,0,0,bare,0,scales,16399,dorbs
19,0.8,binnedHistogram,lo2hi,0.22,0.37,0,copper,0,0,5,0.6,0,0,bare,0,fur,13897,kweps
19,0.12,binnedHistogram,lo2hi,0,0,0,red,0,0,6,0,0,0,danger-distinct,0,scales,24628,blins
19,1,binnedHistogram,lo2hi,1,1,1,green,1,1,7,1,1,1,bare,1,teeth,16126,zoovs
19,0.75,binnedHistogram,lo2hi,0.44,0.52,0.12,orange,0.21,0.29,8,0.62,0.29,0.4,bare,0.18,shells,11861,luzaks
19,0.87,binnedHistogram,lo2hi,0.57,0.68,0.06,green,0.23,0.31,9,0.78,0.4,0.46,nondistinctive,0.11,tails,18703,trufts
19,0.43,binnedHistogram,lo2hi,0.11,0.21,0,yellow,0,0,10,0.33,0,0,danger-distinct,0,legs,15482,ludinos
19,0,binnedHistogram,lo2hi,0,0,0,blue,0,0,11,0,0,0,danger-distinct,0,teeth,18062,thups
20,0.93,binnedHistogram,lo2hi,0.98,0.94,0.96,yellow,0.96,0.98,0,0.94,0.96,0.97,danger-distinct,0.97,legs,27899,ludinos
20,0.21,binnedHistogram,lo2hi,0.04,0.2,0.03,pink,0.02,0.02,1,0.2,0.02,0.01,bare,0.02,teeth,16246,krivels
20,0.34,binnedHistogram,lo2hi,0.4,0.37,0.01,silver,0.05,0.1,2,0.37,0.08,0.42,danger-distinct,0.02,legs,16101,ackles
20,0.37,binnedHistogram,lo2hi,0.41,0.41,0.02,copper,0.03,0.14,3,0.37,0.23,0.39,nondistinctive,0.01,spots,11647,glippets
20,0.52,binnedHistogram,lo2hi,0.5,0.51,0.1,copper,0.27,0.35,4,0.48,0.46,0.5,nondistinctive,0.22,fur,12634,kweps
20,0.75,binnedHistogram,lo2hi,0.7,0.74,0.02,purple,0.24,0.36,5,0.77,0.49,0.71,bare,0.09,feathers,13698,lorches
20,0.02,binnedHistogram,lo2hi,0.01,0.01,0.02,blue,0.02,0.01,6,0.02,0,0.01,danger-distinct,0.02,teeth,11848,thups
20,0.6,binnedHistogram,lo2hi,0.56,0.57,0.49,yellow,0.53,0.53,7,0.56,0.54,0.56,bare,0.52,scales,12119,dorbs
20,0.77,binnedHistogram,lo2hi,0.87,0.83,0.66,red,0.74,0.73,8,0.81,0.76,0.79,bare,0.67,scales,503077,blins
20,0.25,binnedHistogram,lo2hi,0.29,0.18,0.11,blue,0.12,0.12,9,0.18,0.33,0.34,danger-distinct,0.12,scales,10199,reesles
20,0.17,binnedHistogram,lo2hi,0.29,0.21,0.15,gold,0.09,0.13,10,0.18,0.14,0.23,nondistinctive,0.09,stripes,658103,daiths
20,0.21,binnedHistogram,lo2hi,0.17,0.15,0.09,green,0.1,0.11,11,0.24,0.1,0.11,nondistinctive,0.15,teeth,10671,zoovs
21,NA,binnedHistogram,lo2hi,NA,NA,0.42,copper,NA,NA,0,NA,NA,NA,danger-distinct,NA,fur,26350,kweps
21,NA,binnedHistogram,lo2hi,NA,NA,0.63,purple,NA,NA,1,NA,NA,NA,danger-distinct,NA,tails,4387,taifels
21,NA,binnedHistogram,lo2hi,NA,NA,0.5,red,NA,NA,2,NA,NA,NA,nondistinctive,NA,spots,5884,sapers
21,0.6,binnedHistogram,lo2hi,0.58,0.57,0.95,purple,0.82,0.73,3,0.58,0.63,0.57,bare,0.9,feathers,28346,lorches
21,NA,binnedHistogram,lo2hi,NA,NA,0,pink,NA,NA,4,NA,NA,NA,nondistinctive,NA,legs,7431,feps
21,NA,binnedHistogram,lo2hi,NA,NA,0,gold,NA,NA,5,NA,NA,NA,danger-distinct,NA,spots,3919,stups
21,NA,binnedHistogram,lo2hi,NA,NA,0,yellow,NA,NA,6,NA,NA,NA,bare,NA,legs,2997,ludinos
21,NA,binnedHistogram,lo2hi,NA,NA,0,orange,NA,NA,7,NA,NA,NA,bare,NA,tails,3032,zorbs
21,NA,binnedHistogram,lo2hi,NA,NA,0.46,pink,NA,NA,8,NA,NA,NA,nondistinctive,0,ears,12919,elleps
21,NA,binnedHistogram,lo2hi,NA,NA,0.57,green,NA,NA,9,NA,NA,NA,nondistinctive,0.26,shells,3020,moxes
21,NA,binnedHistogram,lo2hi,NA,NA,0.73,gold,0.29,NA,10,NA,NA,NA,bare,0.44,feathers,4015,plovs
21,NA,binnedHistogram,lo2hi,NA,NA,0.86,purple,0.48,NA,11,NA,NA,NA,danger-distinct,0.46,shells,3930,javs
22,0.87,binnedHistogram,lo2hi,0.47,0.56,0,silver,0.18,0.22,0,0.62,0.29,0.39,danger-distinct,0.12,fur,220951,morseths
22,0.9,binnedHistogram,lo2hi,0.66,0.72,0.04,yellow,0.26,0.4,1,0.81,0.47,0.57,danger-distinct,0.18,fur,60281,ollers
22,0.87,binnedHistogram,lo2hi,0.65,0.74,0.05,red,0.37,0.43,2,0.83,0.52,0.57,bare,0.27,feathers,50211,noobs
22,0.15,binnedHistogram,lo2hi,0.36,0.29,0.88,purple,0.68,0.62,3,0.22,0.54,0.43,bare,0.77,tails,85418,taifels
22,0.14,binnedHistogram,lo2hi,0.42,0.35,0.91,blue,0.78,0.69,4,0.24,0.6,0.5,nondistinctive,0.85,ears,72856,cheebas
22,0.83,binnedHistogram,lo2hi,0.73,0.8,0.32,pink,0.45,0.5,5,0.82,0.56,0.65,danger-distinct,0.38,ears,90391,elleps
22,0.74,binnedHistogram,lo2hi,0.58,0.62,0.26,copper,0.35,0.4,6,0.67,0.47,0.53,bare,0.33,stripes,38106,mooks
22,0.16,binnedHistogram,lo2hi,0.32,0.26,0.82,green,0.66,0.55,7,0.22,0.46,0.38,nondistinctive,0.75,tails,83974,trufts
22,0.12,binnedHistogram,lo2hi,0.25,0.2,0.52,purple,0.42,0.38,8,0.15,0.34,0.28,bare,0.47,shells,66775,javs
22,0.18,binnedHistogram,lo2hi,0.28,0.23,0.56,copper,0.46,0.41,9,0.2,0.35,0.31,nondistinctive,0.52,fur,37260,kweps
22,0.27,binnedHistogram,lo2hi,0.45,0.38,0.79,pink,0.68,0.61,10,0.32,0.54,0.5,nondistinctive,0.72,teeth,40232,krivels
22,0.89,binnedHistogram,lo2hi,0.74,0.79,0.43,blue,0.54,0.58,11,0.84,0.64,0.69,danger-distinct,0.5,scales,52008,reesles
23,0.8,binnedHistogram,lo2hi,0.12,0.84,0.21,pink,0.77,0.06,0,0.5,0.93,0.63,danger-distinct,0.33,teeth,29435,krivels
23,0.86,binnedHistogram,lo2hi,0.19,0.75,0.58,green,0.89,0.78,1,0.54,0.29,0.59,nondistinctive,0.21,shells,21015,moxes
23,0.26,binnedHistogram,lo2hi,0.88,0.48,0.37,purple,0.73,0.18,2,0.76,0.47,0.31,danger-distinct,0.5,tails,20698,taifels
23,0.71,binnedHistogram,lo2hi,0.31,0.88,0.69,green,0.46,0.79,3,0.48,0.23,0.55,nondistinctive,0.02,tails,43765,trufts
23,0.62,binnedHistogram,lo2hi,0.38,0.85,0.42,green,0.38,0.65,4,0.2,0.18,0.75,bare,0.81,teeth,26433,zoovs
23,0.56,binnedHistogram,lo2hi,0.56,0.32,0.88,blue,0.21,0.66,5,0.73,0.81,0.21,bare,0.58,scales,28829,reesles
23,0.44,binnedHistogram,lo2hi,0.7,0.6,0.81,silver,0.49,0.68,6,0.52,0.37,0.21,danger-distinct,0.3,legs,18319,ackles
23,0.51,binnedHistogram,lo2hi,0.54,0.83,0.17,yellow,0.8,0.38,7,0.26,0.77,0.18,bare,0.54,legs,16831,ludinos
23,0.4,binnedHistogram,lo2hi,0.26,0.56,0.66,yellow,0.76,0.37,8,0.79,0.73,0.52,nondistinctive,0.4,fur,14714,ollers
23,0.49,binnedHistogram,lo2hi,0.23,0.65,0.5,orange,0.61,0.75,9,0.81,0.21,0.57,nondistinctive,0.29,tails,37850,zorbs
23,0.46,binnedHistogram,lo2hi,0.37,0.33,0.38,pink,0.66,0.79,10,0.19,0.38,0.43,bare,0.75,ears,45187,elleps
23,0.91,binnedHistogram,lo2hi,0.65,0.8,0.56,gold,0.25,0.85,11,0.65,0.3,0.65,danger-distinct,0.65,stripes,13446,daiths
24,0.24,binnedHistogram,lo2hi,0.21,0.21,0.21,red,0.25,0.22,0,0.21,0.21,0.21,bare,0.2,scales,25465,blins
24,0.42,binnedHistogram,lo2hi,0.33,0.33,0.19,green,0.4,0.32,1,0.42,0.34,0.33,danger-distinct,0.33,teeth,19530,zoovs
24,0.28,binnedHistogram,lo2hi,0.4,0.44,0.01,purple,0.29,0.38,2,0.33,0.41,0.39,nondistinctive,0.12,feathers,19107,lorches
24,0.04,binnedHistogram,lo2hi,0.28,0.25,0.05,blue,0.13,0.14,3,0.29,0.22,0.26,nondistinctive,0.11,teeth,17816,thups
24,0.16,binnedHistogram,lo2hi,0.41,0.29,0.03,red,0.09,0.31,4,0.25,0.48,0.48,bare,0.03,spots,19831,sapers
24,0.08,binnedHistogram,lo2hi,0.12,0.1,0.09,red,0.06,0.1,5,0.08,0.1,0.09,bare,0.09,feathers,15972,noobs
24,0.11,binnedHistogram,lo2hi,0.24,0.2,0.09,silver,0.19,0.25,6,0.17,0.28,0.26,nondistinctive,0.15,stripes,18010,frams
24,0.23,binnedHistogram,lo2hi,0.39,0.23,0.04,purple,0.09,0.17,7,0.23,0.33,0.46,bare,0.06,tails,13896,taifels
24,0.24,binnedHistogram,lo2hi,0.51,0.49,0.65,blue,0.65,0.62,8,0.29,0.65,0.57,nondistinctive,0.7,ears,17041,cheebas
24,0.44,binnedHistogram,lo2hi,0.46,0.43,0.35,orange,0.45,0.38,9,0.45,0.42,0.44,danger-distinct,0.37,ears,17382,kazzes
24,0.48,binnedHistogram,lo2hi,0.48,0.46,0.1,copper,0.25,0.35,10,0.43,0.46,0.5,danger-distinct,0.22,spots,19027,glippets
24,0.09,binnedHistogram,lo2hi,0.1,0.11,0,orange,0.12,0.12,11,0.1,0.12,0.1,danger-distinct,0.08,shells,19777,luzaks
25,1,binnedHistogram,lo2hi,0.24,0.45,0,gold,0,0,0,0.72,0,0.04,nondistinctive,0,feathers,95550,plovs
25,0.48,binnedHistogram,lo2hi,0,0,0,green,0,0,1,0.27,0,0,bare,0,tails,134599,trufts
25,0,binnedHistogram,lo2hi,0,0,0,silver,0,0,2,0,0,0,danger-distinct,0,fur,29984,morseths
25,0,binnedHistogram,lo2hi,0,0,0,red,0,0,3,0,0,0,danger-distinct,0,spots,56732,sapers
25,1,binnedHistogram,lo2hi,0,0.15,1,green,0.13,0,4,0.33,0,0,bare,0.29,teeth,57709,zoovs
25,1,binnedHistogram,lo2hi,0,0,1,blue,0,0,5,0,0,0,nondistinctive,0,scales,32950,reesles
25,1,binnedHistogram,lo2hi,0,0,1,silver,0,0,6,0,0,0,danger-distinct,0,legs,20236,ackles
25,1,binnedHistogram,lo2hi,0,0,1,silver,0,0,7,0,0,0,danger-distinct,0,stripes,25700,frams
25,1,binnedHistogram,lo2hi,0,0,1,purple,0,0,8,0,0,0,nondistinctive,0,tails,50305,taifels
25,1,binnedHistogram,lo2hi,0.26,0.45,1,yellow,0.39,0.14,9,0.7,0,0.11,bare,0.7,scales,32526,dorbs
25,1,binnedHistogram,lo2hi,0.25,0.51,1,red,0.35,0.1,10,0.74,0,0.05,nondistinctive,0.69,scales,18746,blins
25,1,binnedHistogram,lo2hi,0,0,1,copper,0,0,11,0,0,0,bare,0,stripes,19846,mooks
26,0.37,binnedHistogram,lo2hi,0.54,0.37,0.31,green,0.4,0.58,0,0.19,0.72,0.75,bare,0.24,teeth,21031,zoovs
26,0.28,binnedHistogram,lo2hi,0.4,0.28,0.37,green,0.33,0.46,1,0.15,0.64,0.6,bare,0.15,shells,11591,moxes
26,0.31,binnedHistogram,lo2hi,0.44,0.27,0.44,orange,0.4,0.52,2,0.12,0.58,0.57,nondistinctive,0.25,ears,16912,kazzes
26,0.43,binnedHistogram,lo2hi,0.46,0.31,0.57,purple,0.41,0.56,3,0.17,0.6,0.56,bare,0.19,tails,11768,taifels
26,0.71,binnedHistogram,lo2hi,0.09,0.19,0.08,blue,0.06,0.04,4,0.37,0.05,0.07,danger-distinct,0.03,scales,17816,reesles
26,0.47,binnedHistogram,lo2hi,0.36,0.21,0.38,green,0.27,0.4,5,0.08,0.5,0.48,nondistinctive,0.17,tails,14064,trufts
26,0.35,binnedHistogram,lo2hi,0.46,0.29,0.47,copper,0.28,0.44,6,0.12,0.57,0.56,nondistinctive,0.18,fur,13359,kweps
26,0.66,binnedHistogram,lo2hi,0.04,0.08,0.17,silver,0.05,0.01,7,0.09,0.05,0.03,danger-distinct,0.02,fur,15319,morseths
26,0.38,binnedHistogram,lo2hi,0.39,0.24,0.42,pink,0.33,0.51,8,0.13,0.57,0.54,nondistinctive,0.21,ears,11760,elleps
26,0.65,binnedHistogram,lo2hi,0.01,0.06,0.22,silver,0.03,0.04,9,0.09,0.03,0.02,danger-distinct,0.04,stripes,11448,frams
26,0.61,binnedHistogram,lo2hi,0.01,0.03,0.25,gold,0.03,0.02,10,0.04,0.04,0.04,danger-distinct,0.03,stripes,12576,daiths
26,0.31,binnedHistogram,lo2hi,0.44,0.27,0.42,purple,0.35,0.54,11,0.12,0.57,0.55,bare,0.19,shells,10417,javs
27,0.35,binnedHistogram,lo2hi,0.77,0.33,0.57,orange,0.85,0.46,0,0.68,0.79,0.5,bare,0.45,shells,25558,luzaks
27,0.33,binnedHistogram,lo2hi,0.63,0.37,0.37,green,0.61,0.35,1,0.57,0.48,0.37,nondistinctive,0.69,teeth,11791,zoovs
27,0.28,binnedHistogram,lo2hi,0.66,0.49,0.35,silver,0.6,0.58,2,0.39,0.79,0.56,bare,0.5,fur,12131,morseths
27,0.24,binnedHistogram,lo2hi,0.64,0.63,0.94,red,0.78,0.58,3,0.33,0.54,0.35,danger-distinct,0.8,scales,8937,blins
27,0.83,binnedHistogram,lo2hi,0.55,0.67,0.89,green,0.57,0.69,4,0.81,0.54,0.63,nondistinctive,0.75,shells,8746,moxes
27,0.76,binnedHistogram,lo2hi,0.41,0.54,0.62,pink,0.73,0.58,5,0.77,0.5,0.65,danger-distinct,0.51,legs,18673,feps
27,0.54,binnedHistogram,lo2hi,0.71,0.7,0.71,silver,0.73,0.61,6,0.39,0.48,0.71,bare,0.51,legs,8805,ackles
27,0.48,binnedHistogram,lo2hi,0.75,0.43,0.78,gold,0.38,0.61,7,0.42,0.5,0.54,nondistinctive,0.64,feathers,9711,plovs
27,0.65,binnedHistogram,lo2hi,0.62,0.67,0.55,yellow,0.44,0.51,8,0.49,0.79,0.6,danger-distinct,0.75,fur,9045,ollers
27,0.42,binnedHistogram,lo2hi,0.5,0.67,0.7,gold,0.52,0.68,9,0.49,0.46,0.67,nondistinctive,0.67,stripes,9407,daiths
27,0.63,binnedHistogram,lo2hi,0.64,0.36,0.46,copper,0.45,0.64,10,0.57,0.49,0.48,danger-distinct,0.63,fur,8160,kweps
27,0.48,binnedHistogram,lo2hi,0.37,0.52,0.48,orange,0.62,0.75,11,0.41,0.63,0.45,bare,0.75,tails,19908,zorbs
28,1,binnedHistogram,lo2hi,0.53,0.52,0.16,gold,0.29,0.31,0,0.76,0.55,0.49,bare,0.22,spots,39798,stups
28,1,binnedHistogram,lo2hi,0.6,0.77,0,silver,0.31,0.43,1,0.85,0.45,0.48,bare,0.21,fur,22618,morseths
28,1,binnedHistogram,lo2hi,0.39,0.53,0,pink,0.12,0.11,2,0.79,0.19,0.31,nondistinctive,0.09,teeth,20954,krivels
28,1,binnedHistogram,lo2hi,0.55,0.65,0,gold,0,0,3,0.81,0.22,0.5,nondistinctive,0,feathers,14585,plovs
28,1,binnedHistogram,lo2hi,0.23,0.34,0,blue,0,0,4,0.47,0,0.11,danger-distinct,0,scales,17796,reesles
28,1,binnedHistogram,lo2hi,0.53,0.65,0,green,0,0.13,5,0.81,0.23,0.33,danger-distinct,0,shells,10234,moxes
28,1,binnedHistogram,lo2hi,0.51,0.8,0.09,pink,0.08,0.09,6,1,0.14,0.32,bare,0.09,legs,10572,feps
28,1,binnedHistogram,lo2hi,0.73,0.82,0,red,0.1,0.2,7,1,0.37,0.53,bare,0,feathers,11547,noobs
28,1,binnedHistogram,lo2hi,0.1,0.32,0,green,0,0,8,0.7,0,0.01,nondistinctive,0,teeth,16218,zoovs
28,1,binnedHistogram,lo2hi,0.76,0.86,0.16,silver,0.33,0.39,9,0.92,0.44,0.66,nondistinctive,0.26,stripes,14538,frams
28,0.81,binnedHistogram,lo2hi,0.31,0.47,0,yellow,0,0,10,0.72,0,0.21,danger-distinct,0,legs,14734,ludinos
28,0.68,binnedHistogram,lo2hi,0.39,0.44,0,blue,0,0.06,11,0.44,0.23,0.32,danger-distinct,0,teeth,17019,thups
29,0.01,binnedHistogram,lo2hi,0.02,0.02,1,green,0.03,0.03,0,0.03,0.03,0.02,danger-distinct,0,tails,70413,trufts
29,0.03,binnedHistogram,lo2hi,0.02,0.01,0,pink,0.04,0.02,1,0.03,0.02,0.98,nondistinctive,0.02,ears,68201,elleps
29,0.99,binnedHistogram,lo2hi,0.01,0.03,0.02,green,0.03,0.02,2,0.02,0.02,0.04,bare,0.03,shells,29954,moxes
29,0.03,binnedHistogram,lo2hi,0.03,0.99,0.02,orange,0.02,0.02,3,0.02,0.02,0.02,bare,0.02,ears,25708,kazzes
29,0.03,binnedHistogram,lo2hi,0.03,0.04,0.03,purple,0.02,0.01,4,0.03,0.01,0.98,bare,0.02,feathers,16290,lorches
29,0.02,binnedHistogram,lo2hi,0.03,0.03,0.02,gold,0,0.01,5,0.02,0.04,0.04,danger-distinct,1,feathers,30865,plovs
29,0.99,binnedHistogram,lo2hi,0.02,0.02,0.02,red,0.02,0.03,6,0.02,0.02,0.02,bare,0.02,feathers,21062,noobs
29,0.02,binnedHistogram,lo2hi,0.02,0.04,0.02,gold,0.03,0.04,7,0.02,0,0.98,danger-distinct,0.02,spots,29016,stups
29,0.02,binnedHistogram,lo2hi,0.01,0.98,0.04,blue,0.04,0.04,8,0.04,0.04,0.03,nondistinctive,0.04,teeth,50819,thups
29,0.02,binnedHistogram,lo2hi,0.04,0.04,0.03,silver,1,0.04,9,0.04,0.03,0,nondistinctive,0.03,legs,41668,ackles
29,0.04,binnedHistogram,lo2hi,0,0.02,0.02,yellow,0.02,0.01,10,0.01,0.02,0,danger-distinct,0.98,legs,23768,ludinos
29,0.02,binnedHistogram,lo2hi,0.02,0.02,0.02,copper,0.02,0.01,11,0.02,0.02,1,nondistinctive,0.01,fur,93089,kweps
