workerid,rt,trial_type,stim_type,stim_part,stim_determiner,trialNum,stim_color,stim_prevalence,response,stim_category
0,3483,truth_conditions,danger,tails,generic,0,green,10,False,trufts
0,4043,truth_conditions,bare,shells,generic,1,green,30,True,moxes
0,3110,truth_conditions,distinct,legs,generic,2,silver,10,False,ackles
0,3231,truth_conditions,danger,scales,generic,3,red,70,True,blins
0,1505,truth_conditions,distinct,scales,generic,4,blue,70,True,reesles
0,1863,truth_conditions,bare,tails,generic,5,orange,50,True,zorbs
0,2608,truth_conditions,bare,scales,generic,6,yellow,30,False,dorbs
0,2048,truth_conditions,distinct,tails,generic,7,purple,30,False,taifels
0,1967,truth_conditions,bare,feathers,generic,8,red,50,True,noobs
0,1138,truth_conditions,distinct,ears,generic,9,pink,90,True,elleps
0,1184,truth_conditions,bare,teeth,generic,10,pink,50,True,krivels
0,966,truth_conditions,bare,stripes,generic,11,gold,90,True,daiths
0,1801,truth_conditions,danger,teeth,generic,12,green,50,True,zoovs
0,1583,truth_conditions,danger,shells,generic,13,orange,90,True,luzaks
0,1946,truth_conditions,danger,legs,generic,14,yellow,10,False,ludinos
0,1093,truth_conditions,distinct,teeth,generic,15,blue,70,True,thups
0,1486,truth_conditions,distinct,spots,generic,16,copper,10,False,glippets
0,1514,truth_conditions,distinct,stripes,generic,17,copper,30,False,mooks
0,2022,truth_conditions,bare,legs,generic,18,pink,50,True,feps
0,2217,truth_conditions,danger,feathers,generic,19,gold,70,True,plovs
0,1392,truth_conditions,bare,spots,generic,20,red,10,True,sapers
0,1681,truth_conditions,bare,ears,generic,21,orange,30,False,kazzes
0,1446,truth_conditions,danger,ears,generic,22,blue,30,False,cheebas
0,1600,truth_conditions,danger,spots,generic,23,gold,70,True,stups
0,1057,truth_conditions,distinct,feathers,generic,24,purple,70,True,lorches
0,1328,truth_conditions,distinct,fur,generic,25,silver,90,True,morseths
0,1367,truth_conditions,danger,fur,generic,26,copper,90,True,kweps
0,1864,truth_conditions,danger,stripes,generic,27,silver,90,True,frams
0,2336,truth_conditions,distinct,shells,generic,28,purple,10,False,javs
0,1239,truth_conditions,bare,fur,generic,29,yellow,50,True,ollers
1,10759,truth_conditions,distinct,legs,generic,0,silver,50,False,ackles
1,4744,truth_conditions,bare,ears,generic,1,blue,50,False,cheebas
1,6819,truth_conditions,distinct,stripes,generic,2,copper,30,False,mooks
1,5622,truth_conditions,distinct,tails,generic,3,purple,90,False,taifels
1,4048,truth_conditions,danger,scales,generic,4,red,70,False,blins
1,3244,truth_conditions,distinct,ears,generic,5,orange,10,False,kazzes
1,6612,truth_conditions,distinct,teeth,generic,6,green,50,False,zoovs
1,2294,truth_conditions,danger,tails,generic,7,orange,90,False,zorbs
1,2541,truth_conditions,distinct,spots,generic,8,red,70,False,sapers
1,2200,truth_conditions,distinct,feathers,generic,9,purple,30,False,lorches
1,2451,truth_conditions,bare,tails,generic,10,green,30,False,trufts
1,1928,truth_conditions,danger,fur,generic,11,copper,30,False,kweps
1,1591,truth_conditions,bare,stripes,generic,12,gold,10,False,daiths
1,2005,truth_conditions,bare,spots,generic,13,gold,70,False,stups
1,3168,truth_conditions,bare,feathers,generic,14,red,90,False,noobs
1,3529,truth_conditions,danger,legs,generic,15,pink,50,False,feps
1,1826,truth_conditions,bare,teeth,generic,16,blue,70,False,thups
1,2219,truth_conditions,bare,fur,generic,17,silver,30,False,morseths
1,2459,truth_conditions,danger,stripes,generic,18,silver,90,False,frams
1,2001,truth_conditions,distinct,scales,generic,19,yellow,10,False,dorbs
1,2160,truth_conditions,bare,legs,generic,20,yellow,70,False,ludinos
1,6033,truth_conditions,danger,feathers,generic,21,gold,30,False,plovs
1,2478,truth_conditions,danger,shells,generic,22,green,50,False,moxes
1,2349,truth_conditions,danger,spots,generic,23,copper,90,False,glippets
1,1676,truth_conditions,distinct,shells,generic,24,orange,70,False,luzaks
1,1613,truth_conditions,bare,scales,generic,25,blue,90,False,reesles
1,1585,truth_conditions,danger,ears,generic,26,pink,10,False,elleps
1,1771,truth_conditions,bare,shells,generic,27,purple,50,False,javs
1,1482,truth_conditions,distinct,fur,generic,28,yellow,10,False,ollers
1,1747,truth_conditions,danger,teeth,generic,29,pink,10,False,krivels
2,8585,truth_conditions,danger,scales,generic,0,blue,30,True,reesles
2,6881,truth_conditions,danger,shells,generic,1,green,70,True,moxes
2,5108,truth_conditions,bare,shells,generic,2,orange,10,True,luzaks
2,4012,truth_conditions,distinct,ears,generic,3,blue,70,True,cheebas
2,3278,truth_conditions,bare,feathers,generic,4,gold,50,True,plovs
2,14600,truth_conditions,bare,spots,generic,5,red,30,True,sapers
2,3145,truth_conditions,distinct,shells,generic,6,purple,30,True,javs
2,4314,truth_conditions,danger,legs,generic,7,pink,10,True,feps
2,5836,truth_conditions,danger,feathers,generic,8,red,10,True,noobs
2,3942,truth_conditions,danger,tails,generic,9,green,50,True,trufts
2,4361,truth_conditions,bare,scales,generic,10,red,50,True,blins
2,2459,truth_conditions,bare,ears,generic,11,pink,70,True,elleps
