workerid	rt	trial_type	stim_type	stim_part	stim_determiner	trialNum	stim_color	stim_prevalence	response	stim_category
0	10776	truth_conditions	danger-distinct	teeth	generic	0	green	50	True	zoovs
0	4979	truth_conditions	danger-distinct	tails	generic	1	green	70	False	trufts
0	2506	truth_conditions	nondistinctive	tails	generic	2	orange	30	False	zorbs
0	3144	truth_conditions	bare	ears	generic	3	orange	50	False	kazzes
0	4713	truth_conditions	nondistinctive	fur	generic	4	copper	70	False	kweps
0	2284	truth_conditions	nondistinctive	scales	generic	5	blue	30	False	reesles
0	1768	truth_conditions	bare	stripes	generic	6	silver	30	False	frams
0	2685	truth_conditions	bare	shells	generic	7	orange	30	False	luzaks
0	2244	truth_conditions	danger-distinct	ears	generic	8	pink	70	False	elleps
0	1171	truth_conditions	nondistinctive	legs	generic	9	silver	70	False	ackles
0	1654	truth_conditions	bare	scales	generic	10	yellow	10	False	dorbs
0	2848	truth_conditions	danger-distinct	legs	generic	11	pink	30	False	feps
0	3328	truth_conditions	nondistinctive	feathers	generic	12	gold	50	False	plovs
0	1803	truth_conditions	bare	feathers	generic	13	purple	10	False	lorches
0	1672	truth_conditions	danger-distinct	spots	generic	14	copper	70	False	glippets
0	2002	truth_conditions	bare	legs	generic	15	yellow	90	False	ludinos
0	1556	truth_conditions	danger-distinct	scales	generic	16	red	50	False	blins
0	1039	truth_conditions	bare	fur	generic	17	yellow	10	False	ollers
0	2636	truth_conditions	nondistinctive	spots	generic	18	gold	90	True	stups
0	1226	truth_conditions	nondistinctive	teeth	generic	19	blue	10	False	thups
0	1261	truth_conditions	nondistinctive	stripes	generic	20	gold	70	False	daiths
0	1566	truth_conditions	bare	tails	generic	21	purple	90	True	taifels
0	1357	truth_conditions	bare	teeth	generic	22	pink	30	False	krivels
0	980	truth_conditions	nondistinctive	shells	generic	23	purple	50	False	javs
0	1029	truth_conditions	nondistinctive	ears	generic	24	blue	50	False	cheebas
0	1587	truth_conditions	danger-distinct	shells	generic	25	green	10	False	moxes
0	1649	truth_conditions	bare	spots	generic	26	red	10	False	sapers
0	3038	truth_conditions	danger-distinct	feathers	generic	27	red	90	True	noobs
0	1063	truth_conditions	danger-distinct	stripes	generic	28	copper	90	True	mooks
0	1377	truth_conditions	danger-distinct	fur	generic	29	silver	90	True	morseths
1	11067	truth_conditions	bare	fur	generic	0	silver	10	False	morseths
1	17987	truth_conditions	danger-distinct	stripes	generic	1	gold	50	False	daiths
1	8087	truth_conditions	danger-distinct	spots	generic	2	red	50	False	sapers
1	4592	truth_conditions	nondistinctive	ears	generic	3	pink	30	False	elleps
1	3440	truth_conditions	bare	tails	generic	4	purple	90	True	taifels
1	3336	truth_conditions	bare	stripes	generic	5	copper	10	False	mooks
1	1888	truth_conditions	bare	teeth	generic	6	blue	50	False	thups
1	2657	truth_conditions	danger-distinct	scales	generic	7	red	90	True	blins
1	2248	truth_conditions	nondistinctive	shells	generic	8	green	50	False	moxes
1	1798	truth_conditions	bare	spots	generic	9	gold	30	False	stups
1	1681	truth_conditions	bare	legs	generic	10	yellow	70	True	ludinos
1	1916	truth_conditions	nondistinctive	legs	generic	11	silver	30	False	ackles
1	2804	truth_conditions	nondistinctive	fur	generic	12	yellow	70	True	ollers
1	2328	truth_conditions	danger-distinct	legs	generic	13	pink	10	False	feps
1	1864	truth_conditions	nondistinctive	tails	generic	14	orange	30	False	zorbs
