workerid,rt,trial_type,stim_type,stim_part,stim_determiner,trialNum,stim_color,stim_prevalence,response,stim_category
2,7357,truth_conditions,danger-distinct,teeth,generic,25,blue,85,False,thups
2,13250,truth_conditions,nondistinctive,legs,generic,26,pink,75,True,feps
2,7531,truth_conditions,nondistinctive,stripes,generic,27,gold,35,True,daiths
2,4799,truth_conditions,bare,tails,generic,28,orange,15,True,zorbs
2,21027,truth_conditions,danger-distinct,ears,generic,29,blue,65,True,cheebas
3,13945,truth_conditions,nondistinctive,feathers,generic,0,gold,55,True,plovs
3,6762,truth_conditions,nondistinctive,tails,generic,1,orange,85,True,zorbs
3,6135,truth_conditions,bare,shells,generic,2,green,15,True,moxes
3,5424,truth_conditions,danger-distinct,legs,generic,3,silver,5,True,ackles
3,4721,truth_conditions,nondistinctive,teeth,generic,4,blue,35,True,thups
3,4254,truth_conditions,bare,stripes,generic,5,silver,65,True,frams
3,4198,truth_conditions,bare,spots,generic,6,gold,5,True,stups
3,3929,truth_conditions,nondistinctive,scales,generic,7,red,45,True,blins
3,5439,truth_conditions,nondistinctive,spots,generic,8,red,95,True,sapers
3,3705,truth_conditions,danger-distinct,teeth,generic,9,green,75,True,zoovs
3,2974,truth_conditions,danger-distinct,scales,generic,10,yellow,65,True,dorbs
3,3864,truth_conditions,nondistinctive,stripes,generic,11,copper,65,True,mooks
3,3656,truth_conditions,danger-distinct,ears,generic,12,pink,55,True,elleps
3,3391,truth_conditions,danger-distinct,spots,generic,13,copper,15,True,glippets
3,4439,truth_conditions,bare,legs,generic,14,yellow,55,True,ludinos
3,2535,truth_conditions,bare,ears,generic,15,blue,35,True,cheebas
3,4224,truth_conditions,danger-distinct,feathers,generic,16,purple,45,True,lorches
3,3310,truth_conditions,nondistinctive,shells,generic,17,purple,15,True,javs
3,3873,truth_conditions,nondistinctive,legs,generic,18,pink,5,True,feps
3,2920,truth_conditions,nondistinctive,ears,generic,19,orange,25,True,kazzes
3,4062,truth_conditions,bare,feathers,generic,20,red,25,True,noobs
3,2640,truth_conditions,bare,tails,generic,21,green,85,True,trufts
3,4669,truth_conditions,danger-distinct,tails,generic,22,purple,85,True,taifels
3,4208,truth_conditions,nondistinctive,fur,generic,23,silver,75,True,morseths
3,3137,truth_conditions,danger-distinct,stripes,generic,24,gold,25,True,daiths
3,3040,truth_conditions,danger-distinct,shells,generic,25,orange,35,True,luzaks
3,3031,truth_conditions,bare,teeth,generic,26,pink,45,True,krivels
3,2824,truth_conditions,danger-distinct,fur,generic,27,copper,95,True,kweps
3,3263,truth_conditions,bare,scales,generic,28,blue,95,True,reesles
3,3823,truth_conditions,bare,fur,generic,29,yellow,75,True,ollers
4,19086,truth_conditions,nondistinctive,fur,generic,0,yellow,65,True,ollers
4,4839,truth_conditions,bare,teeth,generic,1,blue,25,True,thups
4,9927,truth_conditions,nondistinctive,shells,generic,2,purple,95,True,javs
4,13983,truth_conditions,danger-distinct,scales,generic,3,blue,65,True,reesles
4,5183,truth_conditions,bare,tails,generic,4,green,15,False,trufts
4,3208,truth_conditions,bare,spots,generic,5,gold,85,True,stups
4,2531,truth_conditions,bare,feathers,generic,6,gold,75,True,plovs
4,8196,truth_conditions,nondistinctive,spots,generic,7,red,25,False,sapers
4,5864,truth_conditions,nondistinctive,ears,generic,8,blue,55,True,cheebas
4,5232,truth_conditions,nondistinctive,teeth,generic,9,pink,5,False,krivels
4,58656,truth_conditions,nondistinctive,tails,generic,10,orange,15,False,zorbs
4,6864,truth_conditions,danger-distinct,fur,generic,11,silver,85,True,morseths
4,5719,truth_conditions,bare,ears,generic,12,pink,55,True,elleps
4,9144,truth_conditions,nondistinctive,stripes,generic,13,gold,85,True,daiths
4,9142,truth_conditions,danger-distinct,teeth,generic,14,green,25,False,zoovs
4,13496,truth_conditions,bare,legs,generic,15,yellow,35,False,ludinos
4,8279,truth_conditions,danger-distinct,tails,generic,16,purple,95,True,taifels
4,3232,truth_conditions,nondistinctive,legs,generic,17,silver,35,False,ackles
4,2911,truth_conditions,nondistinctive,scales,generic,18,yellow,45,False,dorbs
4,3456,truth_conditions,nondistinctive,feathers,generic,19,red,75,True,noobs
4,2687,truth_conditions,bare,stripes,generic,20,copper,5,False,mooks
4,2111,truth_conditions,bare,scales,generic,21,red,65,True,blins
4,6280,truth_conditions,danger-distinct,spots,generic,22,copper,35,False,glippets
4,1767,truth_conditions,bare,shells,generic,23,green,45,False,moxes
4,2273,truth_conditions,danger-distinct,shells,generic,24,orange,15,False,luzaks
4,3432,truth_conditions,danger-distinct,feathers,generic,25,purple,55,True,lorches
4,6023,truth_conditions,danger-distinct,legs,generic,26,pink,45,False,feps
4,3144,truth_conditions,danger-distinct,stripes,generic,27,silver,5,False,frams
4,3135,truth_conditions,danger-distinct,ears,generic,28,orange,75,True,kazzes
4,3776,truth_conditions,bare,fur,generic,29,copper,95,True,kweps
5,9010,truth_conditions,bare,shells,generic,0,purple,15,False,javs
5,4602,truth_conditions,bare,teeth,generic,1,pink,5,False,krivels
5,3470,truth_conditions,bare,ears,generic,2,blue,75,True,cheebas
5,8763,truth_conditions,danger-distinct,feathers,generic,3,gold,5,True,plovs
5,3296,truth_conditions,danger-distinct,teeth,generic,4,blue,45,True,thups
5,5101,truth_conditions,danger-distinct,shells,generic,5,green,35,True,moxes
5,4090,truth_conditions,danger-distinct,ears,generic,6,orange,95,True,kazzes
5,3924,truth_conditions,bare,legs,generic,7,silver,85,True,ackles
5,3177,truth_conditions,danger-distinct,tails,generic,8,green,55,True,trufts
5,3210,truth_conditions,bare,spots,generic,9,red,35,False,sapers
5,5769,truth_conditions,nondistinctive,scales,generic,10,yellow,15,False,dorbs
5,4098,truth_conditions,nondistinctive,stripes,generic,11,gold,5,False,daiths
5,3615,truth_conditions,bare,stripes,generic,12,silver,55,True,frams
5,2172,truth_conditions,bare,fur,generic,13,yellow,25,False,ollers
5,2925,truth_conditions,danger-distinct,scales,generic,14,red,15,True,blins
5,4670,truth_conditions,bare,tails,generic,15,orange,45,True,zorbs
5,2522,truth_conditions,bare,feathers,generic,16,red,65,True,noobs
5,4805,truth_conditions,nondistinctive,fur,generic,17,silver,55,True,morseths
5,3018,truth_conditions,nondistinctive,ears,generic,18,pink,35,False,elleps
5,3092,truth_conditions,danger-distinct,stripes,generic,19,copper,65,True,mooks
5,3076,truth_conditions,nondistinctive,teeth,generic,20,green,25,False,zoovs
5,2433,truth_conditions,nondistinctive,spots,generic,21,copper,75,True,glippets
5,2144,truth_conditions,nondistinctive,shells,generic,22,orange,85,True,luzaks
5,2346,truth_conditions,bare,scales,generic,23,blue,95,True,reesles
5,2330,truth_conditions,nondistinctive,feathers,generic,24,purple,45,True,lorches
5,3722,truth_conditions,nondistinctive,legs,generic,25,yellow,65,True,ludinos
5,7293,truth_conditions,danger-distinct,legs,generic,26,pink,25,True,feps
5,2077,truth_conditions,danger-distinct,fur,generic,27,copper,85,True,kweps
5,3107,truth_conditions,danger-distinct,spots,generic,28,gold,75,True,stups
5,6210,truth_conditions,nondistinctive,tails,generic,29,purple,95,True,taifels
6,29396,truth_conditions,danger-distinct,ears,generic,0,blue,25,False,cheebas
6,8211,truth_conditions,nondistinctive,spots,generic,1,red,25,False,sapers
6,12319,truth_conditions,danger-distinct,feathers,generic,2,red,95,True,noobs
6,5136,truth_conditions,nondistinctive,fur,generic,3,silver,55,True,morseths
6,3736,truth_conditions,nondistinctive,stripes,generic,4,gold,95,True,daiths
6,3240,truth_conditions,danger-distinct,legs,generic,5,yellow,45,False,ludinos
6,3585,truth_conditions,bare,legs,generic,6,pink,85,True,feps
6,3432,truth_conditions,danger-distinct,teeth,generic,7,blue,65,True,thups
6,4879,truth_conditions,nondistinctive,feathers,generic,8,gold,15,False,plovs
6,4520,truth_conditions,danger-distinct,fur,generic,9,copper,75,True,kweps
6,2040,truth_conditions,bare,ears,generic,10,pink,45,False,elleps
6,3066,truth_conditions,bare,teeth,generic,11,green,55,True,zoovs
6,2894,truth_conditions,danger-distinct,shells,generic,12,green,85,True,moxes
6,2312,truth_conditions,bare,shells,generic,13,purple,95,True,javs
6,1344,truth_conditions,bare,feathers,generic,14,purple,15,False,lorches
