workerid	rt	trial_type	stim_type	stim_part	stim_determiner	trialNum	stim_color	stim_prevalence	response	stim_category
0	26522	truth_conditions	nondistinctive	tails	generic	0	green	70	True	trufts
0	10155	truth_conditions	bare	stripes	generic	1	gold	30	True	daiths
0	6229	truth_conditions	nondistinctive	fur	generic	2	copper	30	True	kweps
0	3845	truth_conditions	bare	shells	generic	3	green	70	True	moxes
0	3656	truth_conditions	danger/distinct	spots	generic	4	red	10	False	sapers
0	3850	truth_conditions	nondistinctive	shells	generic	5	purple	50	True	javs
0	6042	truth_conditions	danger/distinct	stripes	generic	6	copper	70	True	mooks
0	2767	truth_conditions	bare	feathers	generic	7	purple	70	True	lorches
0	6134	truth_conditions	bare	fur	generic	8	silver	10	False	morseths
0	3207	truth_conditions	danger/distinct	teeth	generic	9	green	90	True	zoovs
0	3282	truth_conditions	danger/distinct	fur	generic	10	yellow	90	True	ollers
0	2476	truth_conditions	bare	spots	generic	11	copper	50	True	glippets
0	3051	truth_conditions	danger/distinct	legs	generic	12	silver	30	True	ackles
0	3348	truth_conditions	nondistinctive	feathers	generic	13	red	90	True	noobs
0	2764	truth_conditions	bare	teeth	generic	14	pink	90	True	krivels
0	2728	truth_conditions	bare	scales	generic	15	red	10	False	blins
0	2945	truth_conditions	nondistinctive	teeth	generic	16	blue	90	True	thups
0	2472	truth_conditions	danger/distinct	ears	generic	17	pink	70	True	elleps
0	1876	truth_conditions	nondistinctive	ears	generic	18	orange	70	True	kazzes
0	2357	truth_conditions	danger/distinct	scales	generic	19	blue	10	False	reesles
0	2683	truth_conditions	nondistinctive	spots	generic	20	gold	30	True	stups
0	2394	truth_conditions	danger/distinct	feathers	generic	21	gold	50	True	plovs
0	3327	truth_conditions	bare	ears	generic	22	blue	90	True	cheebas
0	2322	truth_conditions	danger/distinct	tails	generic	23	purple	30	True	taifels
0	2474	truth_conditions	bare	tails	generic	24	orange	50	True	zorbs
0	2592	truth_conditions	nondistinctive	stripes	generic	25	silver	50	True	frams
0	1908	truth_conditions	danger/distinct	shells	generic	26	orange	50	True	luzaks
0	5049	truth_conditions	nondistinctive	scales	generic	27	yellow	10	False	dorbs
0	2772	truth_conditions	bare	legs	generic	28	yellow	30	False	ludinos
0	2954	truth_conditions	nondistinctive	legs	generic	29	pink	10	False	feps
1	101403	truth_conditions	danger/distinct	ears	generic	0	pink	90	True	elleps
1	11092	truth_conditions	danger/distinct	teeth	generic	1	green	70	True	zoovs
1	4102	truth_conditions	bare	teeth	generic	2	pink	30	True	krivels
1	5680	truth_conditions	danger/distinct	legs	generic	3	silver	70	True	ackles
1	4400	truth_conditions	nondistinctive	legs	generic	4	pink	10	False	feps
1	3896	truth_conditions	nondistinctive	tails	generic	5	green	70	True	trufts
1	2769	truth_conditions	bare	fur	generic	6	silver	30	False	morseths
1	2440	truth_conditions	bare	feathers	generic	7	purple	90	True	lorches
1	2127	truth_conditions	nondistinctive	spots	generic	8	gold	90	True	stups
1	19281	truth_conditions	danger/distinct	shells	generic	9	orange	30	False	luzaks
1	1648	truth_conditions	nondistinctive	ears	generic	10	orange	50	True	kazzes
1	1942	truth_conditions	nondistinctive	stripes	generic	11	silver	30	False	frams
1	1727	truth_conditions	danger/distinct	tails	generic	12	purple	30	False	taifels
1	1425	truth_conditions	nondistinctive	fur	generic	13	copper	90	True	kweps
1	2175	truth_conditions	danger/distinct	spots	generic	14	red	90	True	sapers
1	15336	truth_conditions	danger/distinct	fur	generic	15	yellow	50	True	ollers
1	2511	truth_conditions	bare	stripes	generic	16	gold	70	True	daiths
1	2143	truth_conditions	bare	legs	generic	17	yellow	10	False	ludinos
1	1617	truth_conditions	bare	scales	generic	18	red	10	False	blins
1	1904	truth_conditions	danger/distinct	feathers	generic	19	gold	10	False	plovs
1	2861	truth_conditions	danger/distinct	scales	generic	20	blue	10	False	reesles
1	1920	truth_conditions	bare	spots	generic	21	copper	50	True	glippets
1	1921	truth_conditions	nondistinctive	shells	generic	22	purple	50	True	javs
1	1783	truth_conditions	bare	shells	generic	23	green	70	True	moxes
1	2151	truth_conditions	nondistinctive	teeth	generic	24	blue	10	False	thups
1	1944	truth_conditions	danger/distinct	stripes	generic	25	copper	50	True	mooks
1	31937	truth_conditions	nondistinctive	feathers	generic	26	red	70	True	noobs
1	7071	truth_conditions	nondistinctive	scales	generic	27	yellow	30	False	dorbs
1	1575	truth_conditions	bare	tails	generic	28	orange	50	True	zorbs
1	1527	truth_conditions	bare	ears	generic	29	blue	90	True	cheebas
2	16801	truth_conditions	danger/distinct	feathers	generic	0	gold	50	True	plovs
2	11472	truth_conditions	nondistinctive	feathers	generic	1	red	30	True	noobs
2	8318	truth_conditions	bare	legs	generic	2	yellow	90	True	ludinos
2	14532	truth_conditions	danger/distinct	spots	generic	3	red	30	True	sapers
2	15863	truth_conditions	nondistinctive	spots	generic	4	gold	50	True	stups
2	5994	truth_conditions	bare	tails	generic	5	orange	50	True	zorbs
2	13037	truth_conditions	nondistinctive	scales	generic	6	yellow	10	True	dorbs
2	16618	truth_conditions	danger/distinct	shells	generic	7	orange	30	True	luzaks
2	10973	truth_conditions	nondistinctive	stripes	generic	8	silver	50	True	frams
2	10277	truth_conditions	bare	feathers	generic	9	purple	70	True	lorches
2	12618	truth_conditions	danger/distinct	tails	generic	10	purple	10	False	taifels
2	8835	truth_conditions	danger/distinct	fur	generic	11	yellow	90	True	ollers
2	8302	truth_conditions	bare	ears	generic	12	blue	30	False	cheebas
2	3674	truth_conditions	bare	scales	generic	13	red	70	True	blins
2	9208	truth_conditions	danger/distinct	ears	generic	14	pink	70	True	elleps
2	5251	truth_conditions	danger/distinct	stripes	generic	15	copper	50	True	mooks
2	9463	truth_conditions	nondistinctive	tails	generic	16	green	90	True	trufts
2	3232	truth_conditions	nondistinctive	shells	generic	17	purple	70	True	javs
2	3867	truth_conditions	bare	fur	generic	18	silver	90	True	morseths
2	8146	truth_conditions	danger/distinct	scales	generic	19	blue	70	True	reesles
2	4742	truth_conditions	danger/distinct	legs	generic	20	silver	90	True	ackles
2	6298	truth_conditions	bare	shells	generic	21	green	10	False	moxes
2	3805	truth_conditions	danger/distinct	teeth	generic	22	green	10	False	zoovs
2	4131	truth_conditions	bare	stripes	generic	23	gold	30	False	daiths
2	3259	truth_conditions	bare	teeth	generic	24	pink	10	False	krivels
2	6255	truth_conditions	nondistinctive	teeth	generic	25	blue	70	True	thups
2	2629	truth_conditions	bare	spots	generic	26	copper	50	True	glippets
2	3813	truth_conditions	nondistinctive	legs	generic	27	pink	90	True	feps
2	3110	truth_conditions	nondistinctive	fur	generic	28	copper	30	False	kweps
2	2653	truth_conditions	nondistinctive	ears	generic	29	orange	10	False	kazzes
3	10702	truth_conditions	nondistinctive	shells	generic	0	purple	70	True	javs
3	4014	truth_conditions	danger/distinct	spots	generic	1	red	30	True	sapers
3	2425	truth_conditions	bare	ears	generic	2	blue	70	True	cheebas
3	2274	truth_conditions	nondistinctive	legs	generic	3	pink	90	True	feps
3	1336	truth_conditions	nondistinctive	teeth	generic	4	blue	50	True	thups
3	1309	truth_conditions	danger/distinct	ears	generic	5	pink	70	True	elleps
3	1189	truth_conditions	bare	fur	generic	6	silver	50	True	morseths
3	2306	truth_conditions	danger/distinct	legs	generic	7	silver	10	True	ackles
3	1184	truth_conditions	bare	teeth	generic	8	pink	50	True	krivels
3	1259	truth_conditions	nondistinctive	scales	generic	9	yellow	70	True	dorbs
3	1714	truth_conditions	danger/distinct	teeth	generic	10	green	30	True	zoovs
3	1306	truth_conditions	danger/distinct	feathers	generic	11	gold	50	True	plovs
3	1262	truth_conditions	nondistinctive	tails	generic	12	green	30	True	trufts
3	2038	truth_conditions	danger/distinct	tails	generic	13	purple	90	True	taifels
3	3024	truth_conditions	bare	feathers	generic	14	purple	30	True	lorches
3	1468	truth_conditions	nondistinctive	spots	generic	15	gold	10	True	stups
3	1394	truth_conditions	bare	stripes	generic	16	gold	10	True	daiths
3	4650	truth_conditions	nondistinctive	feathers	generic	17	red	90	True	noobs
3	2163	truth_conditions	bare	shells	generic	18	green	90	True	moxes
3	1124	truth_conditions	bare	tails	generic	19	orange	70	True	zorbs
3	1817	truth_conditions	nondistinctive	stripes	generic	20	silver	30	True	frams
3	1210	truth_conditions	nondistinctive	fur	generic	21	copper	50	True	kweps
3	1776	truth_conditions	danger/distinct	shells	generic	22	orange	70	True	luzaks
3	1546	truth_conditions	bare	scales	generic	23	red	30	True	blins
3	1163	truth_conditions	danger/distinct	scales	generic	24	blue	10	True	reesles
3	1375	truth_conditions	bare	legs	generic	25	yellow	10	True	ludinos
3	1331	truth_conditions	danger/distinct	fur	generic	26	yellow	90	True	ollers
3	1270	truth_conditions	danger/distinct	stripes	generic	27	copper	50	True	mooks
3	1227	truth_conditions	nondistinctive	ears	generic	28	orange	10	True	kazzes
3	1321	truth_conditions	bare	spots	generic	29	copper	90	True	glippets
4	19506	truth_conditions	nondistinctive	spots	generic	0	gold	70	True	stups
4	7173	truth_conditions	bare	spots	generic	1	copper	30	False	glippets
4	14174	truth_conditions	danger/distinct	ears	generic	2	pink	70	True	elleps
4	14568	truth_conditions	danger/distinct	teeth	generic	3	green	10	True	zoovs
4	12034	truth_conditions	danger/distinct	stripes	generic	4	copper	30	True	mooks
4	15405	truth_conditions	nondistinctive	stripes	generic	5	silver	10	False	frams
4	4522	truth_conditions	bare	teeth	generic	6	pink	90	True	krivels
4	5371	truth_conditions	bare	legs	generic	7	yellow	90	True	ludinos
4	8376	truth_conditions	bare	stripes	generic	8	gold	10	True	daiths
4	10996	truth_conditions	nondistinctive	legs	generic	9	pink	50	True	feps
4	2830	truth_conditions	bare	shells	generic	10	green	50	True	moxes
4	5591	truth_conditions	bare	tails	generic	11	orange	50	True	zorbs
4	7308	truth_conditions	danger/distinct	tails	generic	12	purple	30	True	taifels
4	6801	truth_conditions	nondistinctive	ears	generic	13	orange	30	False	kazzes
4	5568	truth_conditions	nondistinctive	fur	generic	14	copper	10	False	kweps
4	7811	truth_conditions	nondistinctive	shells	generic	15	purple	50	True	javs
4	8880	truth_conditions	bare	ears	generic	16	blue	30	True	cheebas
4	7874	truth_conditions	danger/distinct	shells	generic	17	orange	50	True	luzaks
4	3243	truth_conditions	bare	feathers	generic	18	purple	70	True	lorches
4	11687	truth_conditions	danger/distinct	feathers	generic	19	gold	50	True	plovs
4	2967	truth_conditions	bare	fur	generic	20	silver	70	True	morseths
4	5830	truth_conditions	nondistinctive	scales	generic	21	yellow	90	True	dorbs
4	7236	truth_conditions	nondistinctive	feathers	generic	22	red	70	True	noobs
