Property,Category,Prevalence,Probability
have pouches,Kangaroos,0,0.021539999999999993
have pouches,Kangaroos,0.99,0.47746
have pouches,Kangaroos,0.8,0.07481999999999998
have pouches,Kangaroos,0.7,0.058219999999999994
have pouches,Kangaroos,0.9,0.13919999999999996
have pouches,Kangaroos,0.1,0.034100000000000005
have pouches,Kangaroos,0.2,0.03311999999999999
have pouches,Kangaroos,0.6,0.043679999999999976
have pouches,Kangaroos,0.5,0.04438
have pouches,Kangaroos,0.3,0.03354
have pouches,Kangaroos,0.4,0.03993999999999999
