Property,Category,Prevalence,Probability
carry malaria,Robins,0,0.8383599999999999
carry malaria,Robins,0.2,0.026940000000000002
carry malaria,Robins,0.1,0.11048
carry malaria,Robins,0.4,0.006599999999999997
carry malaria,Robins,0.3,0.009739999999999997
carry malaria,Robins,0.7,0.0008199999999999999
carry malaria,Robins,0.8,0.0010399999999999988
carry malaria,Robins,0.5,0.00248
carry malaria,Robins,0.6,0.0017200000000000002
carry malaria,Robins,0.99,0.0004
carry malaria,Robins,0.9,0.0014200000000000003
