Property,Category,Prevalence,Probability
have beautiful feathers,Peacocks,0.99,0.57784
have beautiful feathers,Peacocks,0.7,0.04232
have beautiful feathers,Peacocks,0.1,0.034780000000000005
have beautiful feathers,Peacocks,0.4,0.028559999999999995
have beautiful feathers,Peacocks,0.8,0.053699999999999984
have beautiful feathers,Peacocks,0,0.04513999999999999
have beautiful feathers,Peacocks,0.5,0.028299999999999995
have beautiful feathers,Peacocks,0.9,0.09843999999999997
have beautiful feathers,Peacocks,0.2,0.03264
have beautiful feathers,Peacocks,0.3,0.025859999999999994
have beautiful feathers,Peacocks,0.6,0.03241999999999999
