Property,Category,Prevalence,Probability
have spots,Kangaroos,0,0.8118199999999999
have spots,Kangaroos,0.1,0.11358000000000001
have spots,Kangaroos,0.3,0.019439999999999995
have spots,Kangaroos,0.2,0.037899999999999996
have spots,Kangaroos,0.4,0.008140000000000005
have spots,Kangaroos,0.6,0.002119999999999999
have spots,Kangaroos,0.5,0.0046199999999999965
have spots,Kangaroos,0.7,0.0010399999999999988
have spots,Kangaroos,0.9,0.0003399999999999998
have spots,Kangaroos,0.8,0.0008400000000000006
have spots,Kangaroos,0.99,0.00016000000000000012
