Property,Category,Prevalence,Probability
are full-grown,Swans,0.99,0.007719999999999999
are full-grown,Swans,0.7,0.17299999999999996
are full-grown,Swans,0.3,0.08827999999999997
are full-grown,Swans,0.9,0.061579999999999996
are full-grown,Swans,0.5,0.16560000000000002
are full-grown,Swans,0.8,0.13163999999999998
are full-grown,Swans,0.6,0.1889
are full-grown,Swans,0.4,0.13241999999999998
are full-grown,Swans,0.2,0.03832
are full-grown,Swans,0.1,0.011199999999999995
are full-grown,Swans,0,0.0013399999999999998
