Property,Category,Prevalence,Probability
are juvenile,Leopards,0.2,0.2531999999999999
are juvenile,Leopards,0.3,0.23301999999999998
are juvenile,Leopards,0.5,0.088
are juvenile,Leopards,0.1,0.1714
are juvenile,Leopards,0.6,0.043039999999999995
are juvenile,Leopards,0.4,0.15995999999999996
are juvenile,Leopards,0,0.02814
are juvenile,Leopards,0.7,0.017040000000000013
are juvenile,Leopards,0.8,0.004879999999999999
are juvenile,Leopards,0.9,0.0012599999999999992
are juvenile,Leopards,0.99,0.000059999999999999913
