Property,Category,Prevalence,Probability
dont attack swimmers,Sharks,0.6,0.05564
dont attack swimmers,Sharks,0,0.15498
dont attack swimmers,Sharks,0.7,0.06392
dont attack swimmers,Sharks,0.5,0.049019999999999994
dont attack swimmers,Sharks,0.1,0.08836000000000001
dont attack swimmers,Sharks,0.99,0.23435999999999998
dont attack swimmers,Sharks,0.8,0.07152
dont attack swimmers,Sharks,0.2,0.06842
dont attack swimmers,Sharks,0.9,0.10833999999999996
dont attack swimmers,Sharks,0.3,0.05845999999999999
dont attack swimmers,Sharks,0.4,0.046979999999999994
