Property,Category,Prevalence,Probability
dont eat people,Tigers,0.9,0.08981999999999997
dont eat people,Tigers,0,0.21307999999999996
dont eat people,Tigers,0.3,0.048539999999999986
dont eat people,Tigers,0.1,0.09361999999999997
dont eat people,Tigers,0.99,0.26123999999999997
dont eat people,Tigers,0.4,0.043559999999999995
dont eat people,Tigers,0.2,0.05853999999999999
dont eat people,Tigers,0.7,0.04791999999999999
dont eat people,Tigers,0.6,0.043
dont eat people,Tigers,0.8,0.05915999999999998
dont eat people,Tigers,0.5,0.04151999999999999
