Property,Category,Prevalence,Probability
lay eggs,Robins,0.5,0.04361999999999999
lay eggs,Robins,0.3,0.04263999999999999
lay eggs,Robins,0.8,0.07996
lay eggs,Robins,0.9,0.13014000000000003
lay eggs,Robins,0.99,0.41398
lay eggs,Robins,0.4,0.044180000000000004
lay eggs,Robins,0.1,0.05088000000000001
lay eggs,Robins,0.2,0.04335999999999998
lay eggs,Robins,0,0.04663999999999999
lay eggs,Robins,0.7,0.06155999999999998
lay eggs,Robins,0.6,0.043039999999999995
