Property,Category,Prevalence,Probability
have pouches,Tigers,0,0.77852
have pouches,Tigers,0.1,0.11235999999999997
have pouches,Tigers,0.2,0.04490000000000001
have pouches,Tigers,0.3,0.021439999999999997
have pouches,Tigers,0.4,0.016119999999999995
have pouches,Tigers,0.5,0.009360000000000004
have pouches,Tigers,0.6,0.006119999999999999
have pouches,Tigers,0.7,0.005379999999999999
have pouches,Tigers,0.8,0.0021399999999999995
have pouches,Tigers,0.99,0.0011399999999999997
have pouches,Tigers,0.9,0.0025199999999999984
