Property,Category,Prevalence,Probability
have spots,Leopards,0.99,0.75412
have spots,Leopards,0.9,0.1363
have spots,Leopards,0.6,0.013099999999999994
have spots,Leopards,0.7,0.02609999999999999
have spots,Leopards,0.8,0.05505999999999999
have spots,Leopards,0.5,0.007899999999999997
have spots,Leopards,0.4,0.003959999999999999
have spots,Leopards,0.1,0.0007199999999999995
have spots,Leopards,0.3,0.0014200000000000003
have spots,Leopards,0.2,0.0009999999999999996
have spots,Leopards,0,0.00032000000000000024
