Property,Theta,Gamma,Delta,Predictive,Probability
have pouches,0.13746421737596393,0.6440039051230997,0.7283091777935624,0,0.0004
have pouches,0.13746421737596393,0.6133411594200879,0.7283091777935624,0,0.0011999999999999988
have pouches,0.13746421737596393,0.5894138086587191,0.7283091777935624,0,0.0020000000000000013
have pouches,0.13855168735608459,0.5894138086587191,0.7283091777935624,0,0.0016
have pouches,0.13855168735608459,0.5894138086587191,0.7283091777935624,0.06800987027825392,0.0001000000000000001
have pouches,0.12490936298854649,0.5894138086587191,0.7283091777935624,0,0.0072999999999999975
have pouches,0.12490936298854649,0.5894138086587191,0.7283091777935624,0.6977141243730961,0.0009999999999999996
have pouches,0.12490936298854649,0.5894138086587191,0.7283091777935624,0.9999704149805083,0.0001000000000000001
have pouches,0.12490936298854649,0.5894138086587191,0.7283091777935624,0.9879270929307029,0.00019999999999999985
have pouches,0.12490936298854649,0.5894138086587191,0.7283091777935624,0.9999838722206225,0.0001000000000000001
have pouches,0.12490936298854649,0.5894138086587191,0.7283091777935624,0.5805519843806027,0.0001000000000000001
have pouches,0.12490936298854649,0.5894138086587191,0.7283091777935624,0.7458783963068473,0.0004
have pouches,0.12490936298854649,0.5867914815898985,0.7283091777935624,0,0.0032999999999999987
have pouches,0.12490936298854649,0.5991631376091391,0.7283091777935624,0,0.00030000000000000024
have pouches,0.12490936298854649,0.7069030082784593,0.7283091777935624,0,0.00019999999999999985
have pouches,0.12490936298854649,0.7202059363480657,0.7283091777935624,0,0.0006999999999999997
have pouches,0.12490936298854649,0.7202059363480657,0.7283091777935624,0.2320376442970659,0.00019999999999999985
have pouches,0.12490936298854649,0.7125044795684516,0.7283091777935624,0.2320376442970659,0.0004
have pouches,0.12490936298854649,0.7125044795684516,0.7283091777935624,0,0.0008999999999999997
have pouches,0.12490936298854649,0.6726314690895379,0.7283091777935624,0,0.0011999999999999988
have pouches,0.12490936298854649,0.6726314690895379,0.7283091777935624,0.9945861623616575,0.0001000000000000001
have pouches,0.12490936298854649,0.6726314690895379,0.7283091777935624,0.9986367492897482,0.0005999999999999994
have pouches,0.12490936298854649,0.6726314690895379,0.7283091777935624,0.038743172668618056,0.00019999999999999985
have pouches,0.12490936298854649,0.6726314690895379,0.7283091777935624,0.6105875909398727,0.0001000000000000001
have pouches,0.12490936298854649,0.6726314690895379,0.7283091777935624,0.8212249629687657,0.0004999999999999998
have pouches,0.12490936298854649,0.6726314690895379,0.7283091777935624,0.9607025516708335,0.0004
have pouches,0.12941686483100057,0.6726314690895379,0.7283091777935624,0,0.003099999999999999
have pouches,0.12941686483100057,0.6726314690895379,0.7283091777935624,0.9175489020472827,0.0001000000000000001
have pouches,0.12941686483100057,0.6726314690895379,0.7283091777935624,0.9618674133976887,0.0004
have pouches,0.12941686483100057,0.6648862424772233,0.7283091777935624,0,0.0024
have pouches,0.12941686483100057,0.6648862424772233,0.7283091777935624,0.560979715711282,0.00019999999999999985
have pouches,0.12941686483100057,0.6648862424772233,0.7283091777935624,9.795813799677034e-8,0.0001000000000000001
