Property,Theta,Gamma,Delta,Predictive,Probability
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0,0.0016999999999999997
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.9517148285851657,0.00030000000000000024
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.06793968954895396,0.00019999999999999985
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.09542930396660224,0.0001000000000000001
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.19707498202908827,0.0001000000000000001
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.015899443317574955,0.00019999999999999985
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.9934561308191654,0.00030000000000000024
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.9393077434103527,0.0008999999999999997
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.0002125025144364354,0.0011999999999999988
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.7628182110774464,0.00030000000000000024
are red,0.2570284865796566,0.5444847189355642,0.64342450350523,0.26139582630791686,0.00019999999999999985
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.26139582630791686,0.0009999999999999996
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.010107513105974493,0.0004
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.5367344773755491,0.0001000000000000001
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.8825666733286458,0.00019999999999999985
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0,0.0048
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.9666555219455204,0.0001000000000000001
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.7298045782869562,0.0004
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.9975349358049904,0.00030000000000000024
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.9996731838236941,0.0004
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.2648571326355659,0.0001000000000000001
are red,0.3383263316936791,0.5444847189355642,0.64342450350523,0.7859234818975447,0.0004
are red,0.34615405020304024,0.5444847189355642,0.64342450350523,0,0.00030000000000000024
are red,0.34615405020304024,0.5444847189355642,0.64342450350523,0.7087255923725105,0.0001000000000000001
are red,0.34615405020304024,0.5444847189355642,0.64342450350523,0.9993627166989981,0.0004
are red,0.34615405020304024,0.5017547802999616,0.64342450350523,0,0.0011999999999999988
are red,0.2809478344861418,0.5017547802999616,0.64342450350523,0,0.0017999999999999993
are red,0.2809478344861418,0.5017547802999616,0.64342450350523,0.7575208058897643,0.0001000000000000001
are red,0.2809478344861418,0.5017547802999616,0.64342450350523,0.9999468314427891,0.0001000000000000001
