Property,Theta,Gamma,Delta,Predictive,Probability
dont have beautiful feathers,0.8650194825604558,0.8825033861212432,1.2341833557002246,0.6298758601863251,0.0001000000000000001
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0.6298758601863251,0.00030000000000000024
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0.9890418321534983,0.0001000000000000001
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0,0.0014000000000000006
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0.9993645734171458,0.0004999999999999998
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0.7017449348051327,0.003499999999999999
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0.9893567148440054,0.00019999999999999985
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0.7179772272641028,0.0004999999999999998
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0.999999935139906,0.0001000000000000001
dont have beautiful feathers,0.8650194825604558,0.8868613562081009,1.2341833557002246,0.7393711455731574,0.0004
dont have beautiful feathers,0.8762722876854241,0.8868613562081009,1.2341833557002246,0.7393711455731574,0.00030000000000000024
dont have beautiful feathers,0.8762722876854241,0.8868613562081009,1.2341833557002246,0.9992235835920266,0.0008999999999999997
dont have beautiful feathers,0.8762722876854241,0.8868613562081009,1.2341833557002246,0.9987235801016091,0.0005999999999999994
dont have beautiful feathers,0.8762722876854241,0.8868613562081009,1.2341833557002246,0.434114683719121,0.0008999999999999997
dont have beautiful feathers,0.8762722876854241,0.8868613562081009,1.2341833557002246,0.478872486828275,0.0005999999999999994
dont have beautiful feathers,0.8762722876854241,0.8868613562081009,1.2341833557002246,0.9999409736771223,0.0001000000000000001
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.9999409736771223,0.0004999999999999998
dont have beautiful feathers,0.8595049078576267,0.8868613562081009,1.2341833557002246,0.09039978453834889,0.0005999999999999994
