Property,Theta,Gamma,Delta,Predictive,Probability
have beautiful feathers,0.31521452218294144,0.7597945034503937,0.8711037575267255,0,0.0009999999999999996
have beautiful feathers,0.31521452218294144,0.7597945034503937,0.8711037575267255,0.9362948490808118,0.00019999999999999985
have beautiful feathers,0.31521452218294144,0.7597945034503937,0.8711037575267255,0.02308958296449045,0.0004
have beautiful feathers,0.31521452218294144,0.7597945034503937,0.8711037575267255,0.9994187413331903,0.00030000000000000024
have beautiful feathers,0.31521452218294144,0.7643267924431711,0.8711037575267255,0,0.0017999999999999993
have beautiful feathers,0.31521452218294144,0.7643267924431711,0.8711037575267255,0.9819205769690622,0.0004999999999999998
have beautiful feathers,0.31521452218294144,0.7618805472739041,0.8711037575267255,0.9819205769690622,0.0004
have beautiful feathers,0.31521452218294144,0.7618805472739041,0.8711037575267255,0,0.0009999999999999996
have beautiful feathers,0.3119267348665744,0.7618805472739041,0.8711037575267255,0,0.0028000000000000013
have beautiful feathers,0.3119267348665744,0.7618805472739041,0.8711037575267255,0.24602815389854535,0.00019999999999999985
have beautiful feathers,0.3119267348665744,0.7618805472739041,0.8711037575267255,0.835435524305959,0.00019999999999999985
have beautiful feathers,0.3119267348665744,0.7618805472739041,0.8711037575267255,0.8816684234093204,0.00019999999999999985
have beautiful feathers,0.29447664343751967,0.7618805472739041,0.8711037575267255,0,0.0033999999999999994
have beautiful feathers,0.29447664343751967,0.7618805472739041,0.8711037575267255,0.9368211955868858,0.00019999999999999985
have beautiful feathers,0.29447664343751967,0.7618805472739041,0.8711037575267255,0.9994434329432711,0.0001000000000000001
have beautiful feathers,0.29447664343751967,0.7618805472739041,0.8711037575267255,0.03393486493542554,0.0009999999999999996
have beautiful feathers,0.29447664343751967,0.7618805472739041,0.8711037575267255,0.1167261359333328,0.00030000000000000024
have beautiful feathers,0.29447664343751967,0.7618805472739041,0.8711037575267255,0.6935377453145101,0.00030000000000000024
