workerid,trial_number,trial_type,property,prevalence,animal,rt,property_index,animal_index
0,0,priors,attacks swimmers,0,Ducks,35.144,0,0
0,0,priors,attacks swimmers,0,Tigers,35.144,0,1
0,0,priors,attacks swimmers,30,Swans,35.144,0,2
0,0,priors,attacks swimmers,0,Mosquitos,35.144,0,3
0,0,priors,attacks swimmers,1,Sharks,35.144,0,4
0,0,priors,attacks swimmers,0,Lions,35.144,0,5
0,0,priors,attacks swimmers,0,Dogs,35.144,0,6
0,0,priors,attacks swimmers,0,Chickens,35.144,0,7
0,0,priors,attacks swimmers,0,Cows,35.144,0,8
0,0,priors,attacks swimmers,0,Elephants,35.144,0,9
0,0,priors,attacks swimmers,0,Baboons,35.144,0,10
0,0,priors,are full-grown,40,Ducks,59.962,1,0
0,0,priors,are full-grown,70,Tigers,59.962,1,1
0,0,priors,are full-grown,55,Swans,59.962,1,2
0,0,priors,are full-grown,50,Mosquitos,59.962,1,3
0,0,priors,are full-grown,80,Sharks,59.962,1,4
0,0,priors,are full-grown,70,Lions,59.962,1,5
0,0,priors,are full-grown,60,Dogs,59.962,1,6
0,0,priors,are full-grown,40,Chickens,59.962,1,7
0,0,priors,are full-grown,60,Cows,59.962,1,8
0,0,priors,are full-grown,65,Elephants,59.962,1,9
0,0,priors,are full-grown,80,Baboons,59.962,1,10
0,0,priors,eat people,0,Ducks,29.747,2,0
0,0,priors,eat people,1,Tigers,29.747,2,1
0,0,priors,eat people,0,Swans,29.747,2,2
0,0,priors,eat people,100,Mosquitos,29.747,2,3
0,0,priors,eat people,1,Sharks,29.747,2,4
0,0,priors,eat people,1,Lions,29.747,2,5
0,0,priors,eat people,2,Dogs,29.747,2,6
0,0,priors,eat people,0,Chickens,29.747,2,7
0,0,priors,eat people,0,Cows,29.747,2,8
0,0,priors,eat people,0,Elephants,29.747,2,9
0,0,priors,eat people,0,Baboons,29.747,2,10
0,0.333333333333,priors,have manes,0,Ducks,14.188,3,0
0,0.333333333333,priors,have manes,0,Tigers,14.188,3,1
0,0.333333333333,priors,have manes,0,Swans,14.188,3,2
0,0.333333333333,priors,have manes,0,Mosquitos,14.188,3,3
0,0.333333333333,priors,have manes,0,Sharks,14.188,3,4
0,0.333333333333,priors,have manes,50,Lions,14.188,3,5
0,0.333333333333,priors,have manes,0,Dogs,14.188,3,6
0,0.333333333333,priors,have manes,0,Chickens,14.188,3,7
0,0.333333333333,priors,have manes,0,Cows,14.188,3,8
0,0.333333333333,priors,have manes,0,Elephants,14.188,3,9
0,0.333333333333,priors,have manes,0,Baboons,14.188,3,10
0,0.166666666667,priors,are white,20,Ducks,38.359,4,0
0,0.166666666667,priors,are white,2,Tigers,38.359,4,1
0,0.166666666667,priors,are white,75,Swans,38.359,4,2
0,0.166666666667,priors,are white,0,Mosquitos,38.359,4,3
0,0.166666666667,priors,are white,0,Sharks,38.359,4,4
0,0.166666666667,priors,are white,0,Lions,38.359,4,5
0,0.166666666667,priors,are white,10,Dogs,38.359,4,6
0,0.166666666667,priors,are white,30,Chickens,38.359,4,7
0,0.166666666667,priors,are white,5,Cows,38.359,4,8
0,0.166666666667,priors,are white,0,Elephants,38.359,4,9
0,0.166666666667,priors,are white,0,Baboons,38.359,4,10
0,0,priors,carry malaria,0,Ducks,18.584,5,0
0,0,priors,carry malaria,0,Tigers,18.584,5,1
0,0,priors,carry malaria,0,Swans,18.584,5,2
0,0,priors,carry malaria,10,Mosquitos,18.584,5,3
0,0,priors,carry malaria,0,Sharks,18.584,5,4
0,0,priors,carry malaria,0,Lions,18.584,5,5
0,0,priors,carry malaria,0,Dogs,18.584,5,6
0,0,priors,carry malaria,0,Chickens,18.584,5,7
0,0,priors,carry malaria,0,Cows,18.584,5,8
0,0,priors,carry malaria,0,Elephants,18.584,5,9
0,0,priors,carry malaria,0,Baboons,18.584,5,10
0,1,priors,have wings,100,Ducks,20.413,6,0
0,1,priors,have wings,0,Tigers,20.413,6,1
0,1,priors,have wings,100,Swans,20.413,6,2
0,1,priors,have wings,100,Mosquitos,20.413,6,3
0,1,priors,have wings,0,Sharks,20.413,6,4
0,1,priors,have wings,0,Lions,20.413,6,5
0,1,priors,have wings,0,Dogs,20.413,6,6
0,1,priors,have wings,100,Chickens,20.413,6,7
0,1,priors,have wings,0,Cows,20.413,6,8
0,1,priors,have wings,0,Elephants,20.413,6,9
0,1,priors,have wings,0,Baboons,20.413,6,10
0,1,priors,are male,50,Ducks,17.016,7,0
0,1,priors,are male,50,Tigers,17.016,7,1
