workerid,rt,trial_type,prevalence,animal,property,property_index,animal_index
1,13.589,priors,100,Ducks,has wings,6,3
1,13.589,priors,0,Lions,has wings,6,4
1,13.589,priors,0,Tigers,has wings,6,5
1,13.589,priors,100,Penguins,has wings,6,6
1,13.589,priors,0,Spiders,has wings,6,7
1,13.589,priors,0,Dogs,has wings,6,8
1,13.589,priors,0,Lizards,has wings,6,9
1,23.373,priors,0,Birds,has spots,7,0
1,23.373,priors,0,Sharks,has spots,7,1
1,23.373,priors,100,Leopards,has spots,7,2
1,23.373,priors,0,Ducks,has spots,7,3
1,23.373,priors,0,Lions,has spots,7,4
1,23.373,priors,0,Tigers,has spots,7,5
1,23.373,priors,0,Penguins,has spots,7,6
1,23.373,priors,0,Spiders,has spots,7,7
1,23.373,priors,15,Dogs,has spots,7,8
1,23.373,priors,10,Lizards,has spots,7,9
2,9.103,priors,0,Lions,carries malaria,0,0
2,9.103,priors,0,Mosquitos,carries malaria,0,1
2,9.103,priors,0,Leopards,carries malaria,0,2
2,9.103,priors,0,Sharks,carries malaria,0,3
2,9.103,priors,0,Birds,carries malaria,0,4
2,9.103,priors,0,Tigers,carries malaria,0,5
2,9.103,priors,0,Bears,carries malaria,0,6
2,9.103,priors,0,Dolphins,carries malaria,0,7
2,9.103,priors,0,Turtles,carries malaria,0,8
2,9.103,priors,0,Alligator,carries malaria,0,9
2,17.479,priors,0,Lions,has wings,1,0
2,17.479,priors,100,Mosquitos,has wings,1,1
2,17.479,priors,0,Leopards,has wings,1,2
2,17.479,priors,0,Sharks,has wings,1,3
2,17.479,priors,80,Birds,has wings,1,4
2,17.479,priors,0,Tigers,has wings,1,5
2,17.479,priors,0,Bears,has wings,1,6
2,17.479,priors,0,Dolphins,has wings,1,7
2,17.479,priors,0,Turtles,has wings,1,8
2,17.479,priors,0,Alligator,has wings,1,9
2,60.168,priors,.01,Lions,attack swimmers,2,0
2,60.168,priors,.01,Mosquitos,attack swimmers,2,1
2,60.168,priors,.01,Leopards,attack swimmers,2,2
2,60.168,priors,.05,Sharks,attack swimmers,2,3
2,60.168,priors,.01,Birds,attack swimmers,2,4
2,60.168,priors,.01,Tigers,attack swimmers,2,5
2,60.168,priors,.01,Bears,attack swimmers,2,6
2,60.168,priors,.02,Dolphins,attack swimmers,2,7
2,60.168,priors,.03,Turtles,attack swimmers,2,8
2,60.168,priors,.05,Alligator,attack swimmers,2,9
2,35.425,priors,99,Lions,has spots,3,0
2,35.425,priors,90,Mosquitos,has spots,3,1
2,35.425,priors,99,Leopards,has spots,3,2
2,35.425,priors,80,Sharks,has spots,3,3
2,35.425,priors,90,Birds,has spots,3,4
2,35.425,priors,99,Tigers,has spots,3,5
2,35.425,priors,99,Bears,has spots,3,6
2,35.425,priors,99,Dolphins,has spots,3,7
2,35.425,priors,99,Turtles,has spots,3,8
2,35.425,priors,45,Alligator,has spots,3,9
2,14.451,priors,0,Lions,lays eggs,4,0
2,14.451,priors,100,Mosquitos,lays eggs,4,1
2,14.451,priors,0,Leopards,lays eggs,4,2
2,14.451,priors,100,Sharks,lays eggs,4,3
2,14.451,priors,100,Birds,lays eggs,4,4
2,14.451,priors,0,Tigers,lays eggs,4,5
2,14.451,priors,0,Bears,lays eggs,4,6
2,14.451,priors,0,Dolphins,lays eggs,4,7
2,14.451,priors,100,Turtles,lays eggs,4,8
2,14.451,priors,100,Alligator,lays eggs,4,9
2,14.891,priors,50,Lions,is female,5,0
2,14.891,priors,50,Mosquitos,is female,5,1
2,14.891,priors,50,Leopards,is female,5,2
2,14.891,priors,50,Sharks,is female,5,3
2,14.891,priors,50,Birds,is female,5,4
2,14.891,priors,50,Tigers,is female,5,5
2,14.891,priors,50,Bears,is female,5,6
2,14.891,priors,50,Dolphins,is female,5,7
2,14.891,priors,50,Turtles,is female,5,8
2,14.891,priors,70,Alligator,is female,5,9
2,8.504,priors,50,Lions,is male,6,0
2,8.504,priors,50,Mosquitos,is male,6,1
2,8.504,priors,50,Leopards,is male,6,2
2,8.504,priors,50,Sharks,is male,6,3
2,8.504,priors,50,Birds,is male,6,4
2,8.504,priors,50,Tigers,is male,6,5
2,8.504,priors,50,Bears,is male,6,6
2,8.504,priors,50,Dolphins,is male,6,7
2,8.504,priors,50,Turtles,is male,6,8
2,8.504,priors,30,Alligator,is male,6,9
2,106.987,priors,50,Lions,has manes,7,0
2,106.987,priors,0,Mosquitos,has manes,7,1
2,106.987,priors,0,Leopards,has manes,7,2
2,106.987,priors,0,Sharks,has manes,7,3
2,106.987,priors,1,Birds,has manes,7,4
2,106.987,priors,10,Tigers,has manes,7,5
2,106.987,priors,0,Bears,has manes,7,6
2,106.987,priors,0,Dolphins,has manes,7,7
2,106.987,priors,0,Turtles,has manes,7,8
2,106.987,priors,0,Alligator,has manes,7,9
3,38.41,priors,100,Birds,has wings,0,0
3,38.41,priors,0,Lions,has wings,0,1
3,38.41,priors,50,Ducks,has wings,0,2
3,38.41,priors,0,Leopards,has wings,0,3
3,38.41,priors,0,Sharks,has wings,0,4
3,38.41,priors,0,bears,has wings,0,5
3,38.41,priors,0,deers,has wings,0,6
3,38.41,priors,0,fishes,has wings,0,7
3,38.41,priors,0,lions,has wings,0,8
3,38.41,priors,0,frogs,has wings,0,9
3,41.426,priors,100,Birds,lays eggs,1,0
3,41.426,priors,50,Lions,lays eggs,1,1
3,41.426,priors,50,Ducks,lays eggs,1,2
3,41.426,priors,50,Leopards,lays eggs,1,3
3,41.426,priors,50,Sharks,lays eggs,1,4
3,41.426,priors,50,bears,lays eggs,1,5
3,41.426,priors,50,deers,lays eggs,1,6
3,41.426,priors,50,fishes,lays eggs,1,7
3,41.426,priors,50,lions,lays eggs,1,8
3,41.426,priors,50,frogs,lays eggs,1,9
3,43.928,priors,50 ,Birds,is female,2,0
3,43.928,priors,50,Lions,is female,2,1
3,43.928,priors,50,Ducks,is female,2,2
3,43.928,priors,50,Leopards,is female,2,3
3,43.928,priors,50,Sharks,is female,2,4
3,43.928,priors,50,bears,is female,2,5
3,43.928,priors,50,deers,is female,2,6
3,43.928,priors,50,fishes,is female,2,7
3,43.928,priors,50,lions,is female,2,8
3,43.928,priors,50,frogs,is female,2,9
3,53.046,priors,0,Birds,has manes,3,0
3,53.046,priors,50,Lions,has manes,3,1
3,53.046,priors,0,Ducks,has manes,3,2
3,53.046,priors,50,Leopards,has manes,3,3
3,53.046,priors,0,Sharks,has manes,3,4
3,53.046,priors,50,bears,has manes,3,5
3,53.046,priors,0,deers,has manes,3,6
3,53.046,priors,0,fishes,has manes,3,7
3,53.046,priors,50,lions,has manes,3,8
3,53.046,priors,0,frogs,has manes,3,9
3,57.786,priors,50,Birds,has spots,4,0
3,57.786,priors,50,Lions,has spots,4,1
3,57.786,priors,50,Ducks,has spots,4,2
3,57.786,priors,50,Leopards,has spots,4,3
3,57.786,priors,50,Sharks,has spots,4,4
3,57.786,priors,0,bears,has spots,4,5
3,57.786,priors,50,deers,has spots,4,6
3,57.786,priors,50,fishes,has spots,4,7
3,57.786,priors,50,lions,has spots,4,8
3,57.786,priors,50,frogs,has spots,4,9
3,37.464,priors,50,Birds,is male,5,0
3,37.464,priors,50,Lions,is male,5,1
3,37.464,priors,50,Ducks,is male,5,2
3,37.464,priors,50,Leopards,is male,5,3
3,37.464,priors,50,Sharks,is male,5,4
3,37.464,priors,50,bears,is male,5,5
3,37.464,priors,50,deers,is male,5,6
3,37.464,priors,50,fishes,is male,5,7
