workerid,rt,trial_type,prevalence,animal,property,property_index,animal_index
7,20.062,priors,0,Lions,attack swimmers,1,1
7,20.062,priors,0,Mosquitos,attack swimmers,1,2
7,20.062,priors,0,Leopards,attack swimmers,1,3
7,20.062,priors,0,Ducks,attack swimmers,1,4
7,20.062,priors,0,Rodents,attack swimmers,1,5
7,20.062,priors,0,Cats,attack swimmers,1,6
7,20.062,priors,0,Dogs,attack swimmers,1,7
7,20.062,priors,.01,Fish,attack swimmers,1,8
7,20.062,priors,0,Squirrels,attack swimmers,1,9
7,27.798,priors,5,Birds,has spots,2,0
7,27.798,priors,0,Lions,has spots,2,1
7,27.798,priors,0,Mosquitos,has spots,2,2
7,27.798,priors,100,Leopards,has spots,2,3
7,27.798,priors,5,Ducks,has spots,2,4
7,27.798,priors,5,Rodents,has spots,2,5
7,27.798,priors,5,Cats,has spots,2,6
7,27.798,priors,5,Dogs,has spots,2,7
7,27.798,priors,5,Fish,has spots,2,8
7,27.798,priors,0,Squirrels,has spots,2,9
7,23.336,priors,99,Birds,has wings,3,0
7,23.336,priors,0,Lions,has wings,3,1
7,23.336,priors,100,Mosquitos,has wings,3,2
7,23.336,priors,0,Leopards,has wings,3,3
7,23.336,priors,100,Ducks,has wings,3,4
7,23.336,priors,0,Rodents,has wings,3,5
7,23.336,priors,0,Cats,has wings,3,6
7,23.336,priors,0,Dogs,has wings,3,7
7,23.336,priors,0,Fish,has wings,3,8
7,23.336,priors,0,Squirrels,has wings,3,9
7,16.453,priors,100,Birds,lays eggs,4,0
7,16.453,priors,0,Lions,lays eggs,4,1
7,16.453,priors,100,Mosquitos,lays eggs,4,2
7,16.453,priors,0,Leopards,lays eggs,4,3
7,16.453,priors,100,Ducks,lays eggs,4,4
7,16.453,priors,0,Rodents,lays eggs,4,5
7,16.453,priors,0,Cats,lays eggs,4,6
7,16.453,priors,0,Dogs,lays eggs,4,7
7,16.453,priors,80,Fish,lays eggs,4,8
7,16.453,priors,0,Squirrels,lays eggs,4,9
7,36.997,priors,60,Birds,is male,5,0
7,36.997,priors,30,Lions,is male,5,1
7,36.997,priors,20,Mosquitos,is male,5,2
7,36.997,priors,30,Leopards,is male,5,3
7,36.997,priors,40,Ducks,is male,5,4
7,36.997,priors,50,Rodents,is male,5,5
7,36.997,priors,50,Cats,is male,5,6
7,36.997,priors,50,Dogs,is male,5,7
7,36.997,priors,40,Fish,is male,5,8
7,36.997,priors,40,Squirrels,is male,5,9
7,10.95,priors,40,Birds,is female,6,0
7,10.95,priors,70,Lions,is female,6,1
7,10.95,priors,80,Mosquitos,is female,6,2
7,10.95,priors,70,Leopards,is female,6,3
7,10.95,priors,60,Ducks,is female,6,4
7,10.95,priors,50,Rodents,is female,6,5
7,10.95,priors,50,Cats,is female,6,6
7,10.95,priors,50,Dogs,is female,6,7
7,10.95,priors,60,Fish,is female,6,8
7,10.95,priors,60,Squirrels,is female,6,9
7,24.3,priors,3,Birds,has manes,7,0
7,24.3,priors,30,Lions,has manes,7,1
7,24.3,priors,0,Mosquitos,has manes,7,2
7,24.3,priors,0,Leopards,has manes,7,3
7,24.3,priors,2,Ducks,has manes,7,4
7,24.3,priors,0,Rodents,has manes,7,5
7,24.3,priors,0,Cats,has manes,7,6
7,24.3,priors,0,Dogs,has manes,7,7
7,24.3,priors,0,Fish,has manes,7,8
7,24.3,priors,0,Squirrels,has manes,7,9
8,78.795,priors,40,Ducks,is male,0,0
8,78.795,priors,70,Sharks,is male,0,1
8,78.795,priors,75,Leopards,is male,0,2
8,78.795,priors,60,Lions,is male,0,3
8,78.795,priors,30,Mosquitos,is male,0,4
8,78.795,priors,40,Dogs,is male,0,5
8,78.795,priors,40,Cats,is male,0,6
8,78.795,priors,60,Horses,is male,0,7
8,78.795,priors,30,Chickens,is male,0,8
8,78.795,priors,60,Pigs,is male,0,9
8,58.656,priors,0,Ducks,has spots,1,0
8,58.656,priors,0,Sharks,has spots,1,1
8,58.656,priors,100,Leopards,has spots,1,2
8,58.656,priors,0,Lions,has spots,1,3
8,58.656,priors,0,Mosquitos,has spots,1,4
8,58.656,priors,10,Dogs,has spots,1,5
8,58.656,priors,10,Cats,has spots,1,6
8,58.656,priors,0,Horses,has spots,1,7
8,58.656,priors,0,Chickens,has spots,1,8
