"workerid","rt","trial_type","stim_property","origins","stim_word","stim_kind","stim_proptype","stim_name","stim_prevalence","event_outcome","response"
65,20.89,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","kweps",1,"maintained",0.98
66,34.345,"predictive_likelihood_bornToday","brown","intrinsic","generic","bug","color","kweps",0,"maintained",0.98
66,35.578,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","krivels",1,"lost",0.71
66,23.641,"predictive_likelihood_bornToday","blue","extrinsic","generic","fish","color","lorches",0,"lost",0.02
66,22.388,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","frams",1,"maintained",0.04
67,46.375,"predictive_likelihood_bornToday","orange","extrinsic","generic","bird","color","glippets",0,"lost",0
67,41.614,"predictive_likelihood_bornToday","red","intrinsic","generic","bug","color","ackles",0,"lost",0.98
67,42.866,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","taifels",1,"maintained",0
67,32.122,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","sapers",1,"maintained",0.98
68,69.51,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","mooks",0,"maintained",0.73
68,21.922,"predictive_likelihood_bornToday","brown","extrinsic","generic","bird","color","reesles",0,"lost",0
68,18.178,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","morseths",1,"lost",1
68,16.481,"predictive_likelihood_bornToday","blue","intrinsic","generic","fish","color","stups",1,"maintained",1
69,28.529,"predictive_likelihood_bornToday","yellow","intrinsic","generic","bird","color","daiths",1,"maintained",0.94
69,33.486,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","feps",1,"lost",0.5
69,27.814,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","krivels",0,"maintained",0.35
69,24.947,"predictive_likelihood_bornToday","black","extrinsic","generic","fish","color","ackles",0,"lost",0.09
70,41.311,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","sapers",1,"lost",0.09
70,21.359,"predictive_likelihood_bornToday","purple","extrinsic","generic","bug","color","glippets",0,"maintained",0.09
70,25.493,"predictive_likelihood_bornToday","yellow","intrinsic","generic","bird","color","stups",1,"maintained",1
70,24.206,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","thups",0,"lost",0.91
71,33.034,"predictive_likelihood_bornToday","brown","extrinsic","generic","bird","color","thups",1,"lost",0.11
71,14.715,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","frams",1,"maintained",0.03
71,14.082,"predictive_likelihood_bornToday","red","intrinsic","generic","fish","color","feps",0,"maintained",0.87
71,16.634,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","stups",0,"lost",0.72
72,62.197,"predictive_likelihood_bornToday","purple","intrinsic","generic","bird","color","crullets",1,"maintained",0.99
72,54.837,"predictive_likelihood_bornToday","brown","extrinsic","generic","bug","color","blins",0,"maintained",0.5
72,61.839,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","lorches",0,"lost",0.25
72,51.792,"predictive_likelihood_bornToday","tails","intrinsic","generic","bird","part","glippets",1,"lost",0.72
73,24.314,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","stups",1,"maintained",0
73,17.246,"predictive_likelihood_bornToday","orange","extrinsic","generic","fish","color","feps",0,"lost",0
73,16.32,"predictive_likelihood_bornToday","tails","intrinsic","generic","bird","part","zorbs",1,"maintained",1
73,11.993,"predictive_likelihood_bornToday","blue","intrinsic","generic","fish","color","frams",0,"lost",1
74,20.649,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","plovs",0,"lost",0.8
74,13.22,"predictive_likelihood_bornToday","brown","intrinsic","generic","bug","color","krivels",1,"lost",0.29
74,27.993,"predictive_likelihood_bornToday","black","extrinsic","generic","bug","color","daiths",0,"maintained",0.86
74,6.243,"predictive_likelihood_bornToday","tails","intrinsic","generic","bird","part","taifels",1,"maintained",0.83
75,56.069,"predictive_likelihood_bornToday","purple","extrinsic","generic","fish","color","taifels",1,"maintained",0.03
75,32.768,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","blins",0,"lost",0.01
75,27.534,"predictive_likelihood_bornToday","yellow","intrinsic","generic","bird","color","morseths",1,"maintained",0.97
75,31.823,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","sapers",0,"lost",1
76,37.4,"predictive_likelihood_bornToday","yellow","intrinsic","generic","bug","color","crullets",1,"maintained",1
76,38.662,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","luzaks",1,"maintained",1
76,31.611,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","dobles",0,"lost",0
76,26.779,"predictive_likelihood_bornToday","black","extrinsic","generic","fish","color","ollers",0,"lost",0
77,58.085,"predictive_likelihood_bornToday","black","intrinsic","generic","bug","color","krivels",0,"maintained",0.99
77,44.823,"predictive_likelihood_bornToday","orange","extrinsic","generic","bird","color","luzaks",1,"lost",0.01
77,31.755,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","thups",0,"lost",1
77,31.095,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","sapers",1,"maintained",0.01
78,18.507,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","javs",1,"maintained",0
78,16.184,"predictive_likelihood_bornToday","purple","intrinsic","generic","bug","color","dobles",0,"lost",1
78,24.043,"predictive_likelihood_bornToday","black","extrinsic","generic","fish","color","feps",1,"lost",0.79
78,10.49,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","sapers",0,"maintained",0.88
79,55.988,"predictive_likelihood_bornToday","red","extrinsic","generic","bug","color","taifels",0,"lost",0
79,30.862,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","ackles",1,"maintained",0
79,22.93,"predictive_likelihood_bornToday","orange","intrinsic","generic","bird","color","reesles",1,"maintained",1
79,29.479,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","sapers",0,"lost",0.81
