"workerid","rt","trial_type","stim_property","origins","stim_word","stim_kind","stim_proptype","stim_name","stim_prevalence","event_outcome","response"
13,29.279,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","morseths",0,"maintained",1
13,17.697,"predictive_likelihood_bornToday","purple","extrinsic","generic","fish","color","ackles",1,"lost",0.38
13,17.384,"predictive_likelihood_bornToday","blue","intrinsic","generic","fish","color","thups",0,"maintained",1
13,28.144,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","zoovs",1,"lost",0.43
14,22.538,"predictive_likelihood_bornToday","brown","intrinsic","generic","fish","color","reesles",1,"maintained",0.86
14,24.032,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","frams",1,"maintained",0.96
14,28.528,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bug","color","moxes",0,"lost",0.93
14,20.272,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","dobles",0,"lost",0.29
15,32.073,"predictive_likelihood_bornToday","purple","extrinsic","generic","fish","color","sapers",1,"lost",0.28
15,21.628,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","daiths",0,"lost",0.35
15,26.884,"predictive_likelihood_bornToday","tails","extrinsic","generic","bird","part","luzaks",1,"maintained",0.66
15,10.96,"predictive_likelihood_bornToday","blue","intrinsic","generic","bird","color","crullets",0,"maintained",0.99
16,20.874,"predictive_likelihood_bornToday","tails","intrinsic","generic","bird","part","reesles",1,"lost",0.35
16,14.155,"predictive_likelihood_bornToday","black","extrinsic","generic","bug","color","javs",0,"lost",0.23
16,12.251,"predictive_likelihood_bornToday","whiskers","extrinsic","generic","fish","part","trufts",1,"maintained",0.3
16,11.42,"predictive_likelihood_bornToday","yellow","intrinsic","generic","fish","color","frams",0,"maintained",0.83
17,28.2,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","javs",1,"lost",0.14
17,30.584,"predictive_likelihood_bornToday","green","intrinsic","generic","bird","color","luzaks",0,"lost",1
17,19.237,"predictive_likelihood_bornToday","brown","extrinsic","generic","bird","color","sapers",1,"maintained",0
17,22.646,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","dobles",0,"maintained",1
18,18.945,"predictive_likelihood_bornToday","purple","extrinsic","generic","bird","color","crullets",0,"lost",0.07
18,21.968,"predictive_likelihood_bornToday","orange","intrinsic","generic","bug","color","reesles",1,"lost",0.98
18,12.816,"predictive_likelihood_bornToday","fangs","intrinsic","generic","fish","part","blins",1,"maintained",0.99
18,17.14,"predictive_likelihood_bornToday","crests","extrinsic","generic","bird","part","dorbs",0,"maintained",0.01
19,20.714,"predictive_likelihood_bornToday","crests","intrinsic","generic","bird","part","javs",0,"lost",0.83
19,17.292,"predictive_likelihood_bornToday","yellow","extrinsic","generic","bird","color","daiths",1,"lost",0.1
19,16.166,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","feps",1,"maintained",0.25
19,7.977,"predictive_likelihood_bornToday","red","intrinsic","generic","fish","color","frams",0,"maintained",0.87
20,41.566,"predictive_likelihood_bornToday","purple","intrinsic","generic","bird","color","reesles",0,"maintained",0.99
20,39.722,"predictive_likelihood_bornToday","green","extrinsic","generic","bird","color","ollers",0,"lost",0.11
20,31.803,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","frams",1,"maintained",0.12
20,31.114,"predictive_likelihood_bornToday","antennae","intrinsic","generic","bug","part","glippets",1,"lost",0.94
21,21.786,"predictive_likelihood_bornToday","fangs","extrinsic","generic","fish","part","trufts",1,"lost",0.08
21,21.94,"predictive_likelihood_bornToday","orange","extrinsic","generic","bug","color","sapers",0,"maintained",0.77
21,15.631,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","krivels",1,"maintained",0.88
21,14.905,"predictive_likelihood_bornToday","yellow","intrinsic","generic","bird","color","ollers",0,"lost",0.94
22,23.201,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","thups",0,"maintained",0.46
22,13.981,"predictive_likelihood_bornToday","yellow","extrinsic","generic","fish","color","dobles",1,"lost",0.04
22,14.259,"predictive_likelihood_bornToday","blue","intrinsic","generic","bird","color","taifels",1,"maintained",0.98
22,22.877,"predictive_likelihood_bornToday","wings","intrinsic","generic","bug","part","blins",0,"lost",0.05
23,43.951,"predictive_likelihood_bornToday","orange","intrinsic","generic","fish","color","taifels",1,"maintained",1
23,28.224,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","daiths",0,"lost",0.89
23,33.078,"predictive_likelihood_bornToday","green","extrinsic","generic","bird","color","moxes",1,"lost",0.06
23,34.087,"predictive_likelihood_bornToday","wings","extrinsic","generic","bug","part","glippets",0,"maintained",0.8
24,47.564,"predictive_likelihood_bornToday","antennae","extrinsic","generic","bug","part","mooks",1,"maintained",0.02
24,28.746,"predictive_likelihood_bornToday","whiskers","intrinsic","generic","fish","part","taifels",0,"maintained",0.96
24,29.239,"predictive_likelihood_bornToday","purple","intrinsic","generic","fish","color","kazzes",1,"lost",0.95
24,57.115,"predictive_likelihood_bornToday","black","extrinsic","generic","bug","color","moxes",0,"lost",0.05
25,25.85,"predictive_likelihood_bornToday","purple","intrinsic","generic","fish","color","elleps",1,"lost",0.4
25,18.997,"predictive_likelihood_bornToday","brown","extrinsic","generic","bird","color","zoovs",0,"lost",0.09
