"workerid","rt","trial_type","stim_property","origins","stim_word","stim_kind","stim_proptype","stim_name","stim_prevalence","event_outcome","response"
0,13.427,"truth_conditions","red","intrinsic","generic","fish","color","ackles",0,"lost",1
0,13.747,"truth_conditions","green","extrinsic","generic","bird","color","ollers",1,"maintained",0
0,32.859,"truth_conditions","wings","extrinsic","generic","bug","part","glippets",1,"lost",0
0,14.365,"truth_conditions","antennae","intrinsic","generic","bug","part","plovs",0,"maintained",1
1,15.536,"truth_conditions","whiskers","intrinsic","generic","fish","part","dobles",0,"lost",1
1,10.91,"truth_conditions","brown","intrinsic","generic","bird","color","kweps",1,"maintained",1
1,15.561,"truth_conditions","green","extrinsic","generic","bird","color","daiths",1,"lost",0
1,12.843,"truth_conditions","antennae","extrinsic","generic","bug","part","lorches",0,"maintained",1
2,23.053,"truth_conditions","black","extrinsic","generic","bug","color","taifels",1,"lost",0
2,20.572,"truth_conditions","crests","intrinsic","generic","bird","part","kazzes",1,"maintained",1
2,20.456,"truth_conditions","tails","extrinsic","generic","bird","part","feps",0,"maintained",0
2,15.045,"truth_conditions","orange","intrinsic","generic","fish","color","thups",0,"lost",0
3,20.749,"truth_conditions","fangs","extrinsic","generic","fish","part","feps",1,"lost",1
3,13.894,"truth_conditions","wings","intrinsic","generic","bug","part","elleps",0,"lost",0
3,10.671,"truth_conditions","red","intrinsic","generic","bird","color","thups",0,"maintained",1
3,7.994,"truth_conditions","purple","extrinsic","generic","bird","color","krivels",1,"maintained",0
4,15.308,"truth_conditions","fangs","extrinsic","generic","fish","part","javs",1,"lost",0
4,17.009,"truth_conditions","crests","intrinsic","generic","bird","part","daiths",1,"maintained",1
4,10.028,"truth_conditions","brown","intrinsic","generic","bird","color","kweps",0,"lost",1
4,9.335,"truth_conditions","red","extrinsic","generic","fish","color","sapers",0,"maintained",0
5,23.472,"truth_conditions","whiskers","intrinsic","generic","fish","part","trufts",1,"lost",1
5,20.049,"truth_conditions","green","intrinsic","generic","bug","color","ludinos",0,"maintained",1
5,16.542,"truth_conditions","brown","extrinsic","generic","fish","color","plovs",1,"lost",0
5,17.822,"truth_conditions","crests","extrinsic","generic","bird","part","ackles",0,"maintained",0
6,29.688,"truth_conditions","fangs","extrinsic","generic","fish","part","glippets",0,"maintained",0
6,13.775,"truth_conditions","yellow","intrinsic","generic","fish","color","moxes",1,"maintained",1
6,20.138,"truth_conditions","tails","intrinsic","generic","bird","part","frams",0,"lost",1
6,121.006,"truth_conditions","orange","extrinsic","generic","bug","color","zorbs",1,"lost",0
7,43.002,"truth_conditions","black","extrinsic","generic","bug","color","plovs",1,"maintained",0
7,75.513,"truth_conditions","yellow","intrinsic","generic","fish","color","luzaks",0,"lost",1
7,20.838,"truth_conditions","tails","intrinsic","generic","bird","part","feps",1,"maintained",0
7,18.22,"truth_conditions","crests","extrinsic","generic","bird","part","daiths",0,"lost",0
8,36.383,"truth_conditions","antennae","extrinsic","generic","bug","part","blins",0,"maintained",0
8,20.735,"truth_conditions","orange","extrinsic","generic","bird","color","kweps",0,"lost",0
8,19.536,"truth_conditions","green","intrinsic","generic","fish","color","plovs",1,"maintained",1
8,23.399,"truth_conditions","crests","intrinsic","generic","bird","part","frams",1,"lost",1
9,22.735,"truth_conditions","crests","extrinsic","generic","bird","part","frams",0,"lost",0
9,14.295,"truth_conditions","yellow","extrinsic","generic","bird","color","kazzes",1,"maintained",0
9,8.424,"truth_conditions","brown","intrinsic","generic","fish","color","ollers",0,"lost",1
9,13.433,"truth_conditions","wings","intrinsic","generic","bug","part","elleps",1,"maintained",1
10,5.767,"truth_conditions","whiskers","intrinsic","generic","fish","part","kweps",1,"lost",1
10,4.685,"truth_conditions","crests","extrinsic","generic","bird","part","taifels",1,"maintained",0
10,6.126,"truth_conditions","black","extrinsic","generic","bug","color","feps",0,"lost",1
10,4.398,"truth_conditions","yellow","intrinsic","generic","fish","color","ludinos",0,"maintained",0
11,27.268,"truth_conditions","red","intrinsic","generic","bird","color","cheebas",1,"maintained",1
11,22.508,"truth_conditions","whiskers","intrinsic","generic","fish","part","ludinos",0,"lost",1
11,26.224,"truth_conditions","green","extrinsic","generic","bug","color","daiths",0,"lost",1
11,23.948,"truth_conditions","antennae","extrinsic","generic","bug","part","javs",1,"maintained",0
12,33.734,"truth_conditions","brown","extrinsic","generic","bird","color","zorbs",0,"lost",0
12,43.13,"truth_conditions","wings","extrinsic","generic","bug","part","blins",0,"maintained",1
12,29.616,"truth_conditions","green","intrinsic","generic","fish","color","lorches",1,"maintained",1
12,28.402,"truth_conditions","tails","intrinsic","generic","bird","part","daiths",1,"lost",1
13,59.809,"truth_conditions","yellow","extrinsic","generic","bird","color","blins",0,"maintained",0
13,18.438,"truth_conditions","fangs","intrinsic","generic","fish","part","feps",1,"lost",1
13,23.393,"truth_conditions","black","intrinsic","generic","fish","color","glippets",1,"maintained",1
13,20.476,"truth_conditions","wings","extrinsic","generic","bug","part","mooks",0,"lost",0
14,17.543,"truth_conditions","antennae","intrinsic","generic","bug","part","ackles",1,"maintained",1
14,15.352,"truth_conditions","brown","extrinsic","generic","bug","color","cheebas",0,"maintained",0
14,10.8,"truth_conditions","green","intrinsic","generic","bird","color","frams",1,"lost",1
14,12.696,"truth_conditions","whiskers","extrinsic","generic","fish","part","plovs",0,"lost",0
15,16.384,"truth_conditions","red","intrinsic","generic","bird","color","sapers",1,"maintained",1
15,16.858,"truth_conditions","tails","extrinsic","generic","bird","part","blins",0,"lost",0
