Category,Measure,g,d,a,b,Probability
part,within,0.8483546057250351,0.9978036512620747,0.8464913231574378,0.15131232810463693,0.0008600000000000001
part,within,0.8503051979932934,0.9978036512620747,0.8484376312448295,0.1493660200172452,0.004019999999999998
part,within,0.843844679184258,0.9978036512620747,0.8419913019881267,0.15581234927394805,0.0007399999999999999
part,within,0.8632376519963145,0.9978036512620747,0.8613416810688228,0.13646197019325187,0.00124
part,within,0.8314818723592907,0.9978036512620747,0.8296556481983266,0.16814800306374808,0.0012599999999999992
part,within,0.826194332446903,0.9978036512620747,0.8243797215675522,0.1734239296945225,0.000039999999999999956
part,within,0.866920405998826,0.9978036512620747,0.8650163464592289,0.1327873048028459,0.00118
part,within,0.8420880762860179,0.9978036512620747,0.8402385572024451,0.15756509405962954,0.0013800000000000004
part,within,0.858596503501758,0.9978036512620747,0.8567107261549048,0.1410929251071699,0.0013600000000000005
part,within,0.8561991997994483,0.9978036512620747,0.854318687767556,0.1434849634945186,0.00028
part,within,0.8450520583428442,0.9978036512620747,0.8431960293210218,0.15460762194105293,0.006199999999999998
part,within,0.8413927643559873,0.9978036512620747,0.8395447724198946,0.15825887884218015,0.00007999999999999991
part,within,0.856044739484787,0.9978036512620747,0.854164566701612,0.1436390845604627,0.00016000000000000012
part,within,0.8403689214028418,0.9978036512620747,0.838523178182927,0.15928047307914767,0.0035399999999999993
part,within,0.8550388989970088,0.9978036512620747,0.8531609353903197,0.144642715871755,0.002560000000000002
part,within,0.8576998796779662,0.9978036512620747,0.8558160716297168,0.14198757963235784,0.0003399999999999998
part,within,0.8443015010561794,0.9978036512620747,0.8424471205199062,0.15535653074216849,0.0015800000000000002
part,within,0.8494427173864096,0.9978036512620747,0.8475770449461382,0.15022660631593654,0.0011599999999999994
part,within,0.8467604340985417,0.9978036512620747,0.8449006528877844,0.1529029983742904,0.00204
part,within,0.8591530825942755,0.9978036512620747,0.8572660828056349,0.1405375684564398,0.00011999999999999983
part,within,0.8474441654980183,0.9978036512620747,0.8455828825746645,0.15222076868741016,0.0007199999999999995
part,within,0.8420075345784426,0.9978036512620747,0.8401581923925476,0.15764545886952708,0.0015800000000000002
part,within,0.8312227814458311,0.9978036512620747,0.8293971263388678,0.16840652492320696,0.00102
part,within,0.8396286969073117,0.9978036512620747,0.8377845794785335,0.16001907178354127,0.0022600000000000003
part,within,0.8415785187389702,0.9978036512620747,0.8397301188214727,0.15807353244060193,0.00019999999999999985
part,within,0.8579388547223061,0.9978036512620747,0.8560545218015198,0.14174912946055498,0.004019999999999998
part,within,0.8507483904249966,0.9978036512620747,0.8488798502713947,0.14892380099068,0.0038799999999999985
part,within,0.8470016669016331,0.9978036512620747,0.8451413558595131,0.1526622954025616,0.0018399999999999996
part,within,0.8430853213649243,0.9978036512620747,0.8412336119833811,0.1565700392786936,0.0025199999999999984
part,within,0.8516373469028622,0.9978036512620747,0.849766854290822,0.14803679697125266,0.0022799999999999995
part,within,0.8461923459544778,0.9978036512620747,0.8443338124633987,0.15346983879867607,0.0004199999999999999
part,within,0.857940535293892,0.9978036512620747,0.8560561986819843,0.14174745258009036,0.0007599999999999999
part,within,0.8588702811393887,0.9978036512620747,0.8569839024813667,0.14081974878070808,0.00014
part,within,0.85840835259296,0.9978036512620747,0.856522988491118,0.14128066277095677,0.0016199999999999993
part,within,0.8510179193690419,0.9978036512620747,0.8491487872358839,0.1486548640261908,0.0023000000000000004
part,within,0.8488440385553986,0.9978036512620747,0.846979681022622,0.15082397023945268,0.0014799999999999998
part,within,0.8360059342812747,0.9978036512620747,0.8341697737026179,0.16363387755945677,0.00011999999999999983
part,within,0.8476467940490693,0.9978036512620747,0.8457850660827532,0.1520185851793215,0.002119999999999999
part,within,0.8527993536554277,0.9978036512620747,0.8509263088713231,0.14687734239075162,0.0008
part,within,0.8515165757853538,0.9978036512620747,0.8496463484288052,0.14815730283326956,0.0016999999999999997
part,within,0.8290247679688036,0.9978036512620747,0.8272039404659666,0.17059971079610817,0.00011999999999999983
part,within,0.8441811287775636,0.9978036512620747,0.8423270126207926,0.15547663864128208,0.0014000000000000006
part,within,0.8375643631443381,0.9978036512620747,0.8357247797124149,0.16207887154965986,0.00035999999999999975
part,within,0.8608651850372553,0.9978036512620747,0.8589744248745749,0.1388292263874998,0.00011999999999999983
part,within,0.8497050541918725,0.9978036512620747,0.8478388055684895,0.14996484569358529,0.0004399999999999998
part,within,0.8188149342313409,0.9978036512620747,0.8170165310839475,0.1807871201781272,0.00037999999999999964
part,within,0.8205754954833537,0.9978036512620747,0.8187732255294764,0.17903042573259825,0.0015800000000000002
part,within,0.8219353216700256,0.9978036512620747,0.8201300650636194,0.1776735861984553,0.0006999999999999997
part,within,0.8613320617005229,0.9978036512620747,0.8594402761138724,0.13836337514820235,0.001779999999999999
part,within,0.8442178217228502,0.9978036512620747,0.8423636249755752,0.15544002628649953,0.00023999999999999965
part,within,0.8580937467049807,0.9978036512620747,0.8562090735873836,0.14159457767469105,0.0010799999999999998
part,within,0.8453272625338286,0.9978036512620747,0.8434706290676286,0.1543330221944461,0.0004999999999999998
part,within,0.842854963382706,0.9978036512620747,0.8410037599476263,0.15679989131444833,0.0010399999999999988
part,within,0.8543169021140784,0.9978036512620747,0.8524405242643319,0.14536312699774281,0.00066
