Category,Measure,g,d,a,b,Probability
color,within,0.6177524966187775,1.0212523979134858,0.630881218488969,0.3903711794245167,0.0008
color,within,0.6406888836063445,1.0212523979134858,0.6543050586994935,0.3669473392139923,0.0020000000000000013
color,within,0.6406888836063445,0.789250701200217,0.5056641506374916,0.2835865505627254,0.002999999999999998
color,within,0.627292483812198,0.789250701200217,0.4950910327064031,0.2941596684938139,0.009099999999999997
color,within,0.6224245452322066,0.789250701200217,0.4912490087687452,0.2980016924314718,0.0027000000000000006
color,within,0.6307771157007664,0.789250701200217,0.4978412808678803,0.2914094203323367,0.0011999999999999988
color,within,0.6349745928309858,0.789250701200217,0.5011541426361779,0.2880965585640392,0.004699999999999999
color,within,0.616055324440822,0.789250701200217,0.48622209679304595,0.30302860440717105,0.0012999999999999993
color,within,0.616055324440822,0.9906123275868595,0.6102719988666006,0.3803403287202589,0.0001000000000000001
color,within,0.6291292405221611,0.9906123275868595,0.6232231813066111,0.36738914628024827,0.008399999999999994
color,within,0.6437924925703555,0.9906123275868595,0.6377487795480659,0.35286354803879366,0.005199999999999997
color,within,0.64153713430278,0.9906123275868595,0.6355145938450806,0.3550977337417789,0.00019999999999999985
color,within,0.6486120622139424,0.9906123275868595,0.6425231046506664,0.3480892229361931,0.00019999999999999985
color,within,0.6904652519151568,0.9906123275868595,0.6839833903175208,0.30662893726933865,0.0020999999999999986
color,within,0.6562799911480397,0.9906123275868595,0.6501190495798431,0.34049327800701634,0.0021999999999999997
color,within,0.6562799911480397,0.8681332226842642,0.5697384636985481,0.2983947589857161,0.0008999999999999997
color,within,0.598511571297422,0.8681332226842642,0.5195877792042538,0.34854544348001043,0.0020999999999999986
color,within,0.5595136524643749,0.8681332226842642,0.4857323902497412,0.382400832434523,0.0005999999999999994
color,within,0.583976318128407,0.8681332226842642,0.5069692430281051,0.36116397965615915,0.0001000000000000001
color,within,0.6245414970908314,0.8681332226842642,0.5421852225695185,0.32594800011474573,0.005199999999999997
color,within,0.6279904302209616,0.8681332226842642,0.5451793560026009,0.32295386668166326,0.0028999999999999994
color,within,0.6317004328593612,0.8681332226842642,0.5484001325492419,0.3197330901350223,0.003900000000000001
color,within,0.5909131243824959,0.8681332226842642,0.5129913149966036,0.3551419076876606,0.003099999999999999
color,within,0.6388269818853587,0.8681332226842642,0.5545869265217985,0.3135462961624657,0.0008
color,within,0.6156563542317599,0.8681332226842642,0.5344717348652627,0.3336614878190015,0.0089
color,within,0.6111808430869132,0.8681332226842642,0.5305863949519276,0.33754682773233663,0.0009999999999999996
color,within,0.6175472992472351,0.8681332226842642,0.5361133270554659,0.33201989562879836,0.004199999999999997
color,within,0.6373507950920612,0.8681332226842642,0.5533053997236491,0.314827822960615,0.005400000000000001
